# Fraction frozen, Temperatures, k, k_upper, k_lower
6.666666666666667095e-03,0.000000000000000000e+00,6.688988150796651953e-03,2.479920593916243657e-02,2.774963677898164118e-04
1.333333333333333419e-02,1.000000000000000000e+00,1.342302033214066125e-02,3.755864223962493420e-02,1.617646242985050845e-03
2.000000000000000042e-02,2.000000000000000000e+00,2.020270731751946588e-02,4.913110621308870024e-02,4.316920687112804286e-03
2.666666666666666838e-02,3.000000000000000000e+00,2.702867238791925933e-02,5.828895031633771207e-02,7.244092606799756862e-03
3.333333333333333287e-02,4.000000000000000000e+00,3.390155167568133926e-02,6.915378038191513643e-02,1.152032114539068737e-02
4.000000000000000083e-02,5.000000000000000000e+00,4.082199452025516567e-02,7.851596688787039480e-02,1.506993032900259127e-02
4.666666666666666879e-02,6.000000000000000000e+00,4.779066383634843901e-02,8.871135068078084274e-02,1.971323518284527967e-02
5.333333333333333676e-02,7.000000000000000000e+00,5.480823649499502737e-02,9.781290522784781560e-02,2.420101235703242884e-02
6.000000000000000472e-02,8.000000000000000000e+00,6.187540371808752937e-02,1.083762135589916298e-01,2.843292428936659497e-02
6.666666666666666574e-02,9.000000000000000000e+00,6.899287148695143479e-02,1.183339178870862762e-01,3.259907537475602995e-02
7.333333333333333370e-02,1.000000000000000000e+01,7.616136096556402890e-02,1.273274286807102862e-01,3.774250595926954138e-02
8.000000000000000167e-02,1.100000000000000000e+01,8.338160893905101345e-02,1.370044564053987390e-01,4.264341145420535301e-02
8.666666666666666963e-02,1.200000000000000000e+01,9.065436826813083604e-02,1.452729895666012017e-01,4.913110621308870024e-02
9.333333333333333759e-02,1.300000000000000000e+01,9.798040836020378841e-02,1.555524123657324176e-01,5.364531660036944705e-02
1.000000000000000056e-01,1.400000000000000000e+01,1.053605156578262814e-01,1.633372480086500433e-01,5.914918697869206432e-02
1.066666666666666735e-01,1.500000000000000000e+01,1.127954941453443993e-01,1.748948860536612415e-01,6.490003006073211123e-02
1.133333333333333415e-01,1.600000000000000000e+01,1.202861658745019297e-01,1.845467675131885199e-01,7.017436175972484314e-02
1.200000000000000094e-01,1.700000000000000000e+01,1.278333715098848855e-01,1.966425380520914201e-01,7.737406931079156280e-02
1.266666666666666774e-01,1.800000000000000000e+01,1.354379708951042594e-01,2.054778940814077082e-01,8.244540705707657791e-02
