# Fraction frozen, Temperatures, k, k_upper, k_lower
2.403846153846153980e-03,0.000000000000000000e+00,2.406740030564976426e-03,8.849908398088798117e-03,1.613775572242724307e-04
4.807692307692307959e-03,1.000000000000000000e+00,4.819286435948882778e-03,1.353482301003410167e-02,5.915463725123956901e-04
7.211538461538461939e-03,2.000000000000000000e+00,7.237667300230501630e-03,1.719389022568289585e-02,1.503387130888843076e-03
9.615384615384615918e-03,3.000000000000000000e+00,9.661910911736858870e-03,2.152450502568875601e-02,2.675044015639310713e-03
1.201923076923076990e-02,4.000000000000000000e+00,1.209204576502863338e-02,2.455817435742234378e-02,3.858287250262383474e-03
1.442307692307692388e-02,5.000000000000000000e+00,1.452810056290974351e-02,2.801940983310754335e-02,5.248171315180326542e-03
1.682692307692307959e-02,6.000000000000000000e+00,1.697010421846158884e-02,3.181273738795151879e-02,6.932603443566187108e-03
1.923076923076923184e-02,7.000000000000000000e+00,1.941808585710162738e-02,3.507664175200365941e-02,8.265076901270575205e-03
2.163461538461538408e-02,8.000000000000000000e+00,2.187207481866832934e-02,3.848700583077574455e-02,9.901894328931777275e-03
2.403846153846153980e-02,9.000000000000000000e+00,2.433210065953066853e-02,4.141206154205229195e-02,1.180507709161235722e-02
2.644230769230769551e-02,1.000000000000000000e+01,2.679819315472416197e-02,4.521703913732649793e-02,1.353482301003410167e-02
2.884615384615384776e-02,1.100000000000000000e+01,2.927038230011322351e-02,4.841656758651805698e-02,1.514370332184394700e-02
3.125000000000000000e-02,1.200000000000000000e+01,3.174869831458029812e-02,5.158994038355690925e-02,1.694383074902505379e-02
3.365384615384615918e-02,1.300000000000000000e+01,3.423317164224221054e-02,5.390793065837313353e-02,1.895793877825712251e-02
3.605769230769231143e-02,1.400000000000000000e+01,3.672383295469407866e-02,5.800499399316968313e-02,2.049862307920669036e-02
3.846153846153846367e-02,1.500000000000000000e+01,3.922071315328126695e-02,5.972971963102279014e-02,2.227302023619679230e-02
4.086538461538461592e-02,1.600000000000000000e+01,4.172384337139978944e-02,6.364459168619560070e-02,2.408311641880484660e-02
4.326923076923076816e-02,1.700000000000000000e+01,4.423325497682553675e-02,6.682977331277628608e-02,2.655398171469988688e-02
4.567307692307692735e-02,1.800000000000000000e+01,4.674897957407281313e-02,7.017436175972484314e-02,2.788291246009999905e-02
4.807692307692307959e-02,1.900000000000000000e+01,4.927104900678279387e-02,7.261467697729463711e-02,2.985588931494147918e-02
5.048076923076923184e-02,2.000000000000000000e+01,5.179949536014145928e-02,7.699713927326645724e-02,3.244026802736246079e-02
5.288461538461539102e-02,2.100000000000000000e+01,5.433435096332950298e-02,8.045670171309791951e-02,3.423054119417947433e-02
5.528846153846154327e-02,2.200000000000000000e+01,5.687564839200207750e-02,8.244540705707657791e-02,3.629643286234882776e-02
5.769230769230769551e-02,2.300000000000000000e+01,5.942342047080076406e-02,8.531244818741130775e-02,3.848700583077574455e-02
6.009615384615384776e-02,2.400000000000000000e+01,6.197770027589752373e-02,8.827919074607837313e-02,4.041314127428240893e-02
6.250000000000000000e-02,2.500000000000000000e+01,6.453852113757117814e-02,9.046125009801236905e-02,4.202322666698272285e-02
6.490384615384615918e-02,2.600000000000000000e+01,6.710591664281698177e-02,9.498850848864488772e-02,4.455942477581291417e-02
6.730769230769231837e-02,2.700000000000000000e+01,6.967992063798982005e-02,9.781290522784781560e-02,4.633470075477574834e-02
6.971153846153846367e-02,2.800000000000000000e+01,7.226056723148144290e-02,1.012143514984888276e-01,4.818070486403512598e-02
7.211538461538462286e-02,2.900000000000000000e+01,7.484789079643237864e-02,1.042238680061309403e-01,5.108852090411748759e-02
7.451923076923076816e-02,3.000000000000000000e+01,7.744192597347901441e-02,1.078482556706771012e-01,5.209628115431406969e-02
7.692307692307692735e-02,3.100000000000000000e+01,8.004270767353637017e-02,1.099756452132696627e-01,5.443702185244207042e-02
7.932692307692308653e-02,3.200000000000000000e+01,8.265027108061734351e-02,1.126939912141165373e-01,5.716139791042813140e-02
8.173076923076923184e-02,3.300000000000000000e+01,8.526465165468814777e-02,1.171837918922542243e-01,5.972971963102279014e-02
8.413461538461539102e-02,3.400000000000000000e+01,8.788588513456235818e-02,1.200803067654939299e-01,6.150572841401712870e-02
8.653846153846153633e-02,3.500000000000000000e+01,9.051400754083185896e-02,1.224489828956326631e-01,6.302600911379559190e-02
8.894230769230769551e-02,3.600000000000000000e+01,9.314905517883695363e-02,1.248643829787708659e-01,6.490003006073211123e-02
9.134615384615385469e-02,3.700000000000000000e+01,9.579106464167561064e-02,1.285771116207832243e-01,6.748568876212816814e-02
9.375000000000000000e-02,3.800000000000000000e+01,9.844007281325252434e-02,1.311133937421564422e-01,6.983250530772472375e-02
9.615384615384615918e-02,3.900000000000000000e+01,1.010961168713687547e-01,1.350119310246472304e-01,7.190891121639404748e-02
9.855769230769231837e-02,4.000000000000000000e+01,1.037592342908524451e-01,1.376751448930674526e-01,7.440954543549932465e-02
1.009615384615384637e-01,4.100000000000000000e+01,1.064294628467313264e-01,1.403908926972302351e-01,7.550769214538788354e-02
1.033653846153846229e-01,4.200000000000000000e+01,1.091068406174477007e-01,1.452729895666012017e-01,7.928657904394528777e-02
1.057692307692307820e-01,4.300000000000000000e+01,1.117914059881168071e-01,1.452729895666012017e-01,8.006475454182986062e-02
1.081730769230769273e-01,4.400000000000000000e+01,1.144831976538280838e-01,1.495925495276381467e-01,8.407170593152095417e-02
1.105769230769230865e-01,4.500000000000000000e+01,1.171822546229932122e-01,1.540405476678072538e-01,8.531244818741130775e-02
1.129807692307692318e-01,4.600000000000000000e+01,1.198886162207361411e-01,1.563139000935044876e-01,8.914562620136017024e-02
1.153846153846153910e-01,4.700000000000000000e+01,1.226023220923323914e-01,1.593973116364434395e-01,9.179629016022654298e-02
