# Fraction frozen, Temperatures, k, k_upper, k_lower
1.562500000000000087e-03,0.000000000000000000e+00,1.563721976182758664e-03,5.872019849862977758e-03,1.400678735451697516e-04
3.125000000000000173e-03,1.000000000000000000e+00,3.129893008927704407e-03,8.936767762649079280e-03,3.719702471498194407e-04
4.687500000000000694e-03,2.000000000000000000e+00,4.698520781554149824e-03,1.157671746248270517e-02,9.687115497923747421e-04
6.250000000000000347e-03,3.000000000000000000e+00,6.269613013595374228e-03,1.407405901431640037e-02,1.698603586805685992e-03
7.812500000000000000e-03,4.000000000000000000e+00,7.843177461025892597e-03,1.605766054911518179e-02,2.486097788755237820e-03
9.375000000000001388e-03,5.000000000000000000e+00,9.419221916491639715e-03,1.850064521267330217e-02,3.448379431657664154e-03
1.093750000000000104e-02,6.000000000000000000e+00,1.099775420954139833e-02,2.049862307920669036e-02,4.380630419804448089e-03
1.250000000000000069e-02,7.000000000000000000e+00,1.257878220686007263e-02,2.293528819606095726e-02,5.457261816599427544e-03
1.406250000000000035e-02,8.000000000000000000e+00,1.416231381250435996e-02,2.504260317815989317e-02,6.474473860030208194e-03
1.562500000000000000e-02,9.000000000000000000e+00,1.574835696813916761e-02,2.681460158493292542e-02,7.532701888875024086e-03
1.718750000000000139e-02,1.000000000000000000e+01,1.733691965327703935e-02,2.871198545308421141e-02,8.721199686247058103e-03
1.875000000000000278e-02,1.100000000000000000e+01,1.892800988551891078e-02,3.135006859352116454e-02,9.950367836340009292e-03
2.031250000000000069e-02,1.200000000000000000e+01,2.052163572079680059e-02,3.308017718983466415e-02,1.091780301099394210e-02
2.187500000000000208e-02,1.300000000000000000e+01,2.211780525361899119e-02,3.507664175200365941e-02,1.215609030125312968e-02
2.343750000000000000e-02,1.400000000000000000e+01,2.371652661731604370e-02,3.701240783315003918e-02,1.340327364483734698e-02
2.500000000000000139e-02,1.500000000000000000e+01,2.531780798428989732e-02,3.905500256532325187e-02,1.449253833376100593e-02
2.656250000000000278e-02,1.600000000000000000e+01,2.692165756626444320e-02,4.161478920256496405e-02,1.574703814663284615e-02
2.812500000000000069e-02,1.700000000000000000e+01,2.852808361453805161e-02,4.306194455703326457e-02,1.661606610370713888e-02
2.968750000000000208e-02,1.800000000000000000e+01,3.013709442023875321e-02,4.521703913732649793e-02,1.823158093466580726e-02
3.125000000000000000e-02,1.900000000000000000e+01,3.174869831458029812e-02,4.724868825723348847e-02,1.942653559314496195e-02
3.281250000000000139e-02,2.000000000000000000e+01,3.336290366912145894e-02,4.889176259482601317e-02,2.059897157058424716e-02
3.437500000000000278e-02,2.100000000000000000e+01,3.497971889602681517e-02,5.133861848284897167e-02,2.184216674822177587e-02
3.593750000000000416e-02,2.200000000000000000e+01,3.659915244832968179e-02,5.286512551980782071e-02,2.316039160607444303e-02
3.750000000000000555e-02,2.300000000000000000e+01,3.822121282019774052e-02,5.578258032007945427e-02,2.431948544034412060e-02
3.906250000000000000e-02,2.400000000000000000e+01,3.984590854719967379e-02,5.688293449172353300e-02,2.553658772885298092e-02
4.062500000000000139e-02,2.500000000000000000e+01,4.147324820657510153e-02,5.886103998750941840e-02,2.747739710517149714e-02
