# Fraction frozen, Temperatures, k, k_upper, k_lower
1.154734411085450328e-03,0.000000000000000000e+00,1.155401630555873919e-03,4.380630419804448089e-03,1.270344666711646468e-04
2.309468822170900656e-03,1.000000000000000000e+00,2.312139758379502374e-03,6.411546334074484828e-03,3.089697535049829393e-04
3.464203233256350767e-03,2.000000000000000000e+00,3.470217479007217404e-03,8.305537570016825397e-03,7.121656663407549895e-04
4.618937644341801312e-03,3.000000000000000000e+00,4.629637898742104858e-03,1.024623295642648757e-02,1.279625344258071649e-03
5.773672055427251856e-03,4.000000000000000000e+00,5.790404134704330019e-03,1.169033969191756589e-02,1.872875910251494162e-03
6.928406466512701534e-03,5.000000000000000000e+00,6.952519314881752503e-03,1.366766349529170352e-02,2.572551902681329168e-03
8.083140877598152946e-03,6.000000000000000000e+00,8.115986578179837721e-03,1.536719626056679867e-02,3.300102362053301038e-03
9.237875288683602623e-03,7.000000000000000000e+00,9.280809074472855941e-03,1.686128838286880469e-02,4.071213608583187059e-03
1.039260969976905230e-02,8.000000000000000000e+00,1.044698996465538710e-02,1.787890580782181341e-02,4.713563256533319368e-03
1.154734411085450371e-02,9.000000000000000000e+00,1.161453242069300160e-02,1.971323518284527967e-02,5.592152826385809149e-03
1.270207852193995339e-02,1.000000000000000000e+01,1.278343962567492567e-02,2.131530133161721116e-02,6.226409715168985254e-03
1.385681293302540307e-02,1.100000000000000000e+01,1.395371477386531979e-02,2.293528819606095726e-02,7.173684904893013435e-03
1.501154734411085448e-02,1.200000000000000000e+01,1.512536107075599170e-02,2.420101235703242884e-02,8.105195700897625463e-03
1.616628175519630589e-02,1.300000000000000000e+01,1.629838173311942001e-02,2.591346034152777061e-02,9.024479627469527906e-03
1.732101616628175383e-02,1.400000000000000000e+01,1.747277998906105606e-02,2.734354016299174461e-02,9.853656961630050462e-03
1.847575057736720525e-02,1.500000000000000000e+01,1.864855907807297722e-02,2.899378552372194884e-02,1.049949636149069727e-02
1.963048498845265666e-02,1.600000000000000000e+01,1.982572225108784197e-02,3.029650679795539703e-02,1.174756831392023519e-02
2.078521939953810460e-02,1.700000000000000000e+01,2.100427277053212513e-02,3.181273738795151879e-02,1.239587850389838909e-02
2.193995381062355601e-02,1.800000000000000000e+01,2.218421391038073037e-02,3.324211713393117329e-02,1.353482301003410167e-02
2.309468822170900743e-02,1.900000000000000000e+01,2.336554895621188385e-02,3.473572041507227287e-02,1.442193751016935047e-02
2.424942263279445537e-02,2.000000000000000000e+01,2.454828120526135818e-02,3.611961373001288528e-02,1.485076067967495451e-02
2.540415704387990678e-02,2.100000000000000000e+01,2.573241396647801479e-02,3.737567421745833368e-02,1.629464179926679371e-02
2.655889145496535819e-02,2.200000000000000000e+01,2.691795056057971411e-02,3.867541424034717790e-02,1.711012968748580956e-02
2.771362586605080613e-02,2.300000000000000000e+01,2.810489432010848318e-02,4.100956419108525014e-02,1.832083139969227850e-02
2.886836027713625755e-02,2.400000000000000000e+01,2.929324858948708157e-02,4.161478920256496405e-02,1.923772274916790356e-02
3.002309468822170896e-02,2.500000000000000000e+01,3.048301672507587948e-02,4.306194455703326457e-02,1.990671504776443668e-02
3.117782909930716037e-02,2.600000000000000000e+01,3.167420209522892743e-02,4.521703913732649793e-02,2.080114468930290700e-02
3.233256351039261178e-02,2.700000000000000000e+01,3.286680808035210427e-02,4.610897990734218188e-02,2.173576199524221084e-02
3.348729792147805973e-02,2.800000000000000000e+01,3.406083807295986338e-02,4.747998840690018790e-02,2.260172865322187391e-02
3.464203233256350767e-02,2.900000000000000000e+01,3.525629547773348471e-02,4.913110621308870024e-02,2.396579481408219955e-02
3.579676674364896255e-02,3.000000000000000000e+01,3.645318371157967030e-02,5.083964168304219711e-02,2.455817435742234378e-02
3.695150115473441049e-02,3.100000000000000000e+01,3.765150620368843543e-02,5.209628115431406969e-02,2.566159895734473201e-02
3.810623556581985844e-02,3.200000000000000000e+01,3.885126639559242923e-02,5.312392024820979802e-02,2.668397347047983190e-02
3.926096997690531332e-02,3.300000000000000000e+01,4.005246774122656755e-02,5.443702185244207042e-02,2.815657541223823973e-02
4.041570438799076126e-02,3.400000000000000000e+01,4.125511370698700664e-02,5.688293449172353300e-02,2.843292428936659497e-02
4.157043879907620920e-02,3.500000000000000000e+01,4.245920777179151839e-02,5.716139791042813140e-02,2.956571017600084783e-02
4.272517321016166408e-02,3.600000000000000000e+01,4.366475342714019187e-02,5.828895031633771207e-02,3.059385850042439445e-02
4.387990762124711203e-02,3.700000000000000000e+01,4.487175417717551018e-02,6.061121937291048117e-02,3.165776070901721306e-02
4.503464203233255997e-02,3.800000000000000000e+01,4.608021353874381526e-02,6.180682215253682082e-02,3.324211713393117329e-02
4.618937644341801485e-02,3.900000000000000000e+01,4.729013504145710561e-02,6.302600911379559190e-02,3.373270905122758428e-02
4.734411085450346279e-02,4.000000000000000000e+01,4.850152222775411248e-02,6.521774018603115897e-02,3.456650433898705854e-02
4.849884526558891074e-02,4.100000000000000000e+01,4.971437865296343683e-02,6.553700562222332382e-02,3.629643286234882776e-02
4.965357967667436562e-02,4.200000000000000000e+01,5.092870788536536797e-02,6.781605666199576332e-02,3.701240783315003918e-02
5.080831408775981356e-02,4.300000000000000000e+01,5.214451350625518705e-02,6.881689572189211845e-02,3.774250595926954138e-02
5.196304849884526150e-02,4.400000000000000000e+01,5.336179911000692166e-02,7.017436175972484314e-02,3.848700583077574455e-02
5.311778290993071638e-02,4.500000000000000000e+01,5.458056830413638566e-02,7.121000502342103577e-02,3.963138187688584196e-02
5.427251732101616433e-02,4.600000000000000000e+01,5.580082470936568312e-02,7.226093245846895718e-02,4.141206154205229195e-02
5.542725173210161227e-02,4.700000000000000000e+01,5.702257195968809395e-02,7.477380822523355119e-02,4.161478920256496405e-02
5.658198614318706715e-02,4.800000000000000000e+01,5.824581370243230721e-02,7.587733077745173471e-02,4.369745889138297590e-02
5.773672055427251509e-02,4.900000000000000000e+01,5.947055359832810473e-02,7.662204546142327433e-02,4.391137443389719897e-02
5.889145496535796998e-02,5.000000000000000000e+01,6.069679532157244706e-02,7.813347406296164421e-02,4.566083167280785005e-02
6.004618937644341792e-02,5.100000000000000000e+01,6.192454255989490036e-02,8.045670171309791951e-02,4.633470075477574834e-02
6.120092378752886586e-02,5.200000000000000000e+01,6.315379901462453427e-02,8.124636163623621954e-02,4.724868825723348847e-02
6.235565819861432074e-02,5.300000000000000000e+01,6.438456840075720833e-02,8.284900842031049650e-02,4.865358494598714251e-02
6.351039260969976175e-02,5.400000000000000000e+01,6.561685444702228254e-02,8.407170593152095417e-02,4.961331421726806329e-02
6.466512702078522357e-02,5.500000000000000000e+01,6.685066089595068095e-02,8.531244818741130775e-02,5.083964168304219711e-02
6.581986143187067151e-02,5.600000000000000000e+01,6.808599150394348265e-02,8.614976589798113704e-02,5.184249259975914903e-02
6.697459584295611945e-02,5.700000000000000000e+01,6.932285004133983963e-02,8.827919074607837313e-02,5.235131209956415954e-02
6.812933025404156739e-02,5.800000000000000000e+01,7.056124029248633800e-02,8.958202766440713505e-02,5.390793065837313353e-02
6.928406466512701534e-02,5.900000000000000000e+01,7.180116605580688649e-02,9.090409203624341683e-02,5.470351160625976789e-02
7.043879907621246328e-02,6.000000000000000000e+01,7.304263114387173073e-02,9.269724495813499998e-02,5.524041120381513459e-02
7.159353348729792510e-02,6.100000000000000000e+01,7.428563938346877116e-02,9.452576919642451114e-02,5.744122451259450757e-02
7.274826789838337304e-02,6.200000000000000000e+01,7.553019461567352100e-02,9.545351306423069393e-02,5.744122451259450757e-02
7.390300230946882099e-02,6.300000000000000000e+01,7.677630069592061846e-02,9.686222965704541221e-02,5.914918697869206432e-02
7.505773672055426893e-02,6.400000000000000000e+01,7.802396149407593573e-02,9.829173629074135221e-02,6.031595004823646355e-02
7.621247113163971687e-02,6.500000000000000000e+01,7.927318089450789695e-02,1.012143514984888276e-01,6.150572841401712870e-02
7.736720554272517869e-02,6.600000000000000000e+01,8.052396279616044761e-02,1.002306161604975820e-01,6.241343874744067349e-02
