# Fraction frozen, Temperatures, k, k_upper, k_lower
1.103752759381898454e-03,0.000000000000000000e+00,1.104362343053213883e-03,4.212790165517471368e-03,1.276563482987328445e-04
2.207505518763796908e-03,1.000000000000000000e+00,2.209945650802843959e-03,6.105964875856966130e-03,2.788548171726291892e-04
3.311258278145695361e-03,2.000000000000000000e+00,3.316752625993926468e-03,7.948407272502251014e-03,7.018082794154362637e-04
4.415011037527593815e-03,3.000000000000000000e+00,4.424785980355694717e-03,9.853656961630050462e-03,1.160555372423124638e-03
5.518763796909492703e-03,4.000000000000000000e+00,5.534048434641443241e-03,1.113316504730352957e-02,1.845637724837060397e-03
6.622516556291390723e-03,5.000000000000000000e+00,6.644542718668613145e-03,1.301624739008148089e-02,2.449941206165929565e-03
7.726269315673288743e-03,6.000000000000000000e+00,7.756271571359096666e-03,1.442193751016935047e-02,3.173661652260481667e-03
8.830022075055187630e-03,7.000000000000000000e+00,8.869237740779772894e-03,1.605766054911518179e-02,3.896155255644359952e-03
9.933774834437086518e-03,8.000000000000000000e+00,9.983443984183262496e-03,1.736264342765327789e-02,4.667750595831950643e-03
1.103752759381898541e-02,9.000000000000000000e+00,1.109889306804891576e-02,1.923772274916790356e-02,5.325624577782132191e-03
1.214128035320088256e-02,1.000000000000000000e+01,1.221558776812390994e-02,2.049862307920669036e-02,6.226409715168985254e-03
1.324503311258278145e-02,1.100000000000000000e+01,1.333353086946514367e-02,2.184216674822177587e-02,7.069354362503809004e-03
1.434878587196468033e-02,1.200000000000000000e+01,1.445272516648024412e-02,2.293528819606095726e-02,7.681290209809889420e-03
1.545253863134657749e-02,1.300000000000000000e+01,1.557317346296992026e-02,2.455817435742234378e-02,8.594362850560269274e-03
1.655629139072847811e-02,1.400000000000000000e+01,1.669487857216999174e-02,2.566159895734473201e-02,9.202494408213348839e-03
1.766004415011037526e-02,1.500000000000000000e+01,1.781784331679378552e-02,2.734354016299174461e-02,1.019631813344820497e-02
1.876379690949227241e-02,1.600000000000000000e+01,1.894207052907473723e-02,2.899378552372194884e-02,1.102495818020835482e-02
1.986754966887417304e-02,1.700000000000000000e+01,2.006756305080925618e-02,3.014891648060546991e-02,1.197929810710521639e-02
2.097130242825607019e-02,1.800000000000000000e+01,2.119432373339983494e-02,3.196847273618130120e-02,1.270227622216327582e-02
2.207505518763797081e-02,1.900000000000000000e+01,2.232235543789838281e-02,3.308017718983466415e-02,1.380180777259079616e-02
2.317880794701986796e-02,2.000000000000000000e+01,2.345166103504981933e-02,3.456650433898705854e-02,1.456348477501244465e-02
2.428256070640176512e-02,2.100000000000000000e+01,2.458224340533590735e-02,3.559430784589599772e-02,1.544242448226208590e-02
2.538631346578366574e-02,2.200000000000000000e+01,2.571410543901933576e-02,3.683210080784152241e-02,1.653512045258940036e-02
2.649006622516556289e-02,2.300000000000000000e+01,2.684725003618805214e-02,3.886474498014490242e-02,1.719389022568289585e-02
2.759381898454746004e-02,2.400000000000000000e+01,2.798168010679985204e-02,3.963138187688584196e-02,1.796642979508495178e-02
2.869757174392936067e-02,2.500000000000000000e+01,2.911739857072721122e-02,4.121032147525625217e-02,1.914400562116451085e-02
2.980132450331125782e-02,2.600000000000000000e+01,3.025440835780237453e-02,4.243567283036392412e-02,2.000416592607989069e-02
3.090507726269315497e-02,2.700000000000000000e+01,3.139271240786271899e-02,4.434235223713870605e-02,2.100530208038161109e-02
