# Fraction frozen, Temperatures, k, k_upper, k_lower
1.356852103120759732e-03,0.000000000000000000e+00,1.357773460460359564e-03,5.022504888727209564e-03,1.366892289537717997e-04
2.713704206241519465e-03,1.000000000000000000e+00,2.717392976499915114e-03,7.681290209809889420e-03,3.525160308536468240e-04
4.070556309362279197e-03,2.000000000000000000e+00,4.078863574821004444e-03,9.853656961630050462e-03,8.407945267723743784e-04
5.427408412483038930e-03,3.000000000000000000e+00,5.442190302685086592e-03,1.209687155246267666e-02,1.474305327781264994e-03
6.784260515603798662e-03,4.000000000000000000e+00,6.807378228025014015e-03,1.407405901431640037e-02,2.243780617656604588e-03
8.141112618724558395e-03,5.000000000000000000e+00,8.174432439558062397e-03,1.582412583762426647e-02,3.022401393805718151e-03
9.497964721845317260e-03,6.000000000000000000e+00,9.543358046899746289e-03,1.761888380170008664e-02,3.915228405122051121e-03
1.085481682496607786e-02,7.000000000000000000e+00,1.091416018067840540e-02,1.961720158213900098e-02,4.736637926474712192e-03
1.221166892808683846e-02,8.000000000000000000e+00,1.228684399265069123e-02,2.162987559612319227e-02,5.730378032905402742e-03
1.356852103120759732e-02,9.000000000000000000e+00,1.366141465581728782e-02,2.350219597664388732e-02,6.538019001973804749e-03
1.492537313432835619e-02,1.000000000000000000e+01,1.503787736454055904e-02,2.516519616596129064e-02,7.606633241614336842e-03
1.628222523744911679e-02,1.100000000000000000e+01,1.641623733466186438e-02,2.668397347047983190e-02,8.510831431167225139e-03
1.763907734056987739e-02,1.200000000000000000e+01,1.779649980362026790e-02,2.899378552372194884e-02,9.429958987519705335e-03
1.899592944369063452e-02,1.300000000000000000e+01,1.917867003057194264e-02,3.089412862631268908e-02,1.055089535624408222e-02
2.035278154681139512e-02,1.400000000000000000e+01,2.056275329651039221e-02,3.196847273618130120e-02,1.146419956460381986e-02
2.170963364993215572e-02,1.500000000000000000e+01,2.194875490438754143e-02,3.389784338489912341e-02,1.270227622216327582e-02
2.306648575305291632e-02,1.600000000000000000e+01,2.333668017923561447e-02,3.542090913607574831e-02,1.360108107355725154e-02
2.442333785617367692e-02,1.700000000000000000e+01,2.472653446828991519e-02,3.755864223962493420e-02,1.449253833376100593e-02
2.578018995929443405e-02,1.800000000000000000e+01,2.611832314111241574e-02,3.924619153313993469e-02,1.567032599057862838e-02
2.713704206241519465e-02,1.900000000000000000e+01,2.751205158971623335e-02,4.061097884332459662e-02,1.677914812425904817e-02
2.849389416553595525e-02,2.000000000000000000e+01,2.890772522869097111e-02,4.285216703696265172e-02,1.796642979508495178e-02
2.985074626865671238e-02,2.100000000000000000e+01,3.030534949532892250e-02,4.391137443389719897e-02,1.923772274916790356e-02
3.120759837177747298e-02,2.200000000000000000e+01,3.170492984975218503e-02,4.610897990734218188e-02,2.020050119450740936e-02
3.256445047489823358e-02,2.300000000000000000e+01,3.310647177504062733e-02,4.771242085803830552e-02,2.141964777106443105e-02
3.392130257801899418e-02,2.400000000000000000e+01,3.450998077736078945e-02,4.937162150863531190e-02,2.249162367224726358e-02
3.527815468113975478e-02,2.500000000000000000e+01,3.591546238609567843e-02,5.083964168304219711e-02,2.338770434281476143e-02
3.663500678426051538e-02,2.600000000000000000e+01,3.732292215397543800e-02,5.260759151748056056e-02,2.467839588343567411e-02
3.799185888738126904e-02,2.700000000000000000e+01,3.873236565720915292e-02,5.470351160625976789e-02,2.566159895734473201e-02
3.934871099050202964e-02,2.800000000000000000e+01,4.014379849561688918e-02,5.578258032007945427e-02,2.694586917327488132e-02
4.070556309362279024e-02,2.900000000000000000e+01,4.155722629276388524e-02,5.800499399316968313e-02,2.761190932756964200e-02
4.206241519674355084e-02,3.000000000000000000e+01,4.297265469609455601e-02,5.914918697869206432e-02,2.885254145109141313e-02
4.341926729986431144e-02,3.100000000000000000e+01,4.439008937706797470e-02,6.090793415229463215e-02,3.029650679795539703e-02
4.477611940298507204e-02,3.200000000000000000e+01,4.580953603129422208e-02,6.333454519974045238e-02,3.165776070901721306e-02
4.613297150610583264e-02,3.300000000000000000e+01,4.723100037867171419e-02,6.395615596714131212e-02,3.259907537475602995e-02
4.748982360922659324e-02,3.400000000000000000e+01,4.865448816352548750e-02,6.618023291989326429e-02,3.373270905122758428e-02
4.884667571234735384e-02,3.500000000000000000e+01,5.008000515474651110e-02,6.781605666199576332e-02,3.490576486767264786e-02
5.020352781546810750e-02,3.600000000000000000e+01,5.150755714593192175e-02,6.915378038191513643e-02,3.594365597724222261e-02
5.156037991858886810e-02,3.700000000000000000e+01,5.293714995552633445e-02,7.190891121639404748e-02,3.737567421745833368e-02
5.291723202170962870e-02,3.800000000000000000e+01,5.436878942696411060e-02,7.332736963085474680e-02,3.867541424034717790e-02
5.427408412483038930e-02,3.900000000000000000e+01,5.580248142881269469e-02,7.404705716257975467e-02,3.982539243882390195e-02
5.563093622795114990e-02,4.000000000000000000e+01,5.723823185491692250e-02,7.662204546142327433e-02,4.121032147525625217e-02
5.698778833107191050e-02,4.100000000000000000e+01,5.867604662454443260e-02,7.775284456301601033e-02,4.202322666698272285e-02
5.834464043419267110e-02,4.200000000000000000e+01,6.011593168253205610e-02,8.006475454182986062e-02,4.412633717367392405e-02
5.970149253731342476e-02,4.300000000000000000e+01,6.155789299943331683e-02,8.124636163623621954e-02,4.499676301109162280e-02
6.105834464043418536e-02,4.400000000000000000e+01,6.300193657166697214e-02,8.407170593152095417e-02,4.610897990734218188e-02
6.241519674355494596e-02,4.500000000000000000e+01,6.444806842166664329e-02,8.448326864113160639e-02,4.771242085803830552e-02
6.377204884667571350e-02,4.600000000000000000e+01,6.589629459803157674e-02,8.614976589798113704e-02,4.841656758651805698e-02
6.512890094979646716e-02,4.700000000000000000e+01,6.734662117567807860e-02,8.784913609111438815e-02,4.985619010286809066e-02
6.648575305291722082e-02,4.800000000000000000e+01,6.879905425599297519e-02,8.958202766440713505e-02,5.133861848284897167e-02
6.784260515603798836e-02,4.900000000000000000e+01,7.025359996698729570e-02,9.179629016022654298e-02,5.209628115431406969e-02
6.919945725915874202e-02,5.000000000000000000e+01,7.171026446345139804e-02,9.269724495813499998e-02,5.312392024820979802e-02
7.055630936227950956e-02,5.100000000000000000e+01,7.316905392711132994e-02,9.452576919642451114e-02,5.524041120381513459e-02
7.191316146540026322e-02,5.200000000000000000e+01,7.462997456678614749e-02,9.545351306423069393e-02,5.578258032007945427e-02
7.327001356852103076e-02,5.300000000000000000e+01,7.609303261854653833e-02,9.733640680445627968e-02,5.772242097151986107e-02
7.462686567164178442e-02,5.400000000000000000e+01,7.755823434587449938e-02,9.877291141228704274e-02,5.886103998750941840e-02
7.598371777476253808e-02,5.500000000000000000e+01,7.902558603982422214e-02,1.007212828302873064e-01,6.061121937291048117e-02
7.734056987788330562e-02,5.600000000000000000e+01,8.049509401918419904e-02,1.017098339237905436e-01,6.120610146243484623e-02
7.869742198100405928e-02,5.700000000000000000e+01,8.196676463064045404e-02,1.047340831498279751e-01,6.210938985846919946e-02
8.005427408412482682e-02,5.800000000000000000e+01,8.344060424894099437e-02,1.057620187510779630e-01,6.241343874744067349e-02
8.141112618724558048e-02,5.900000000000000000e+01,8.491661927706156687e-02,1.089067560002977830e-01,6.490003006073211123e-02
8.276797829036634802e-02,6.000000000000000000e+01,8.639481614637246898e-02,1.094398956469571221e-01,6.650421012103821528e-02
8.412483039348710168e-02,6.100000000000000000e+01,8.787520131680671975e-02,1.099756452132696627e-01,6.748568876212816814e-02
8.548168249660786921e-02,6.200000000000000000e+01,8.935778127702950768e-02,1.121449991459008005e-01,6.915378038191513643e-02
8.683853459972862288e-02,6.300000000000000000e+01,9.084256254460884583e-02,1.149169666060784328e-01,6.915378038191513643e-02
8.819538670284937654e-02,6.400000000000000000e+01,9.232955166618699028e-02,1.160448443475875502e-01,7.121000502342103577e-02
8.955223880597014408e-02,6.500000000000000000e+01,9.381875521765485615e-02,1.177574507514298763e-01,7.297015320896073354e-02
9.090909090909089774e-02,6.600000000000000000e+01,9.531017980432489323e-02,1.194953320454317375e-01,7.477380822523355119e-02
9.226594301221166528e-02,6.700000000000000000e+01,9.680383206110818040e-02,1.218524691006507843e-01,7.513985421871144377e-02
9.362279511533241894e-02,6.800000000000000000e+01,9.829971865269089559e-02,1.230484168506261883e-01,7.699713927326645724e-02
9.497964721845318647e-02,6.900000000000000000e+01,9.979784627371289518e-02,1.242561024917682028e-01,7.851596688787039480e-02
9.633649932157394014e-02,7.000000000000000000e+01,1.012982216489474729e-01,1.260898918172679850e-01,7.851596688787039480e-02
9.769335142469470767e-02,7.100000000000000000e+01,1.028008515334824652e-01,1.292065450772146018e-01,8.085056761359897537e-02
9.905020352781546134e-02,7.200000000000000000e+01,1.043057427129027437e-01,1.285771116207832243e-01,8.204377184966649139e-02
1.004070556309362150e-01,7.300000000000000000e+01,1.058129020034740825e-01,1.317552432561739373e-01,8.407170593152095417e-02
1.017639077340569825e-01,7.400000000000000000e+01,1.073223362523283708e-01,1.317552432561739373e-01,8.325458556444258196e-02
1.031207598371777362e-01,7.500000000000000000e+01,1.088340523376502833e-01,1.343542164610890544e-01,8.573008479833162110e-02
1.044776119402985037e-01,7.600000000000000000e+01,1.103480571688653378e-01,1.376751448930674526e-01,8.742117645995718667e-02
1.058344640434192574e-01,7.700000000000000000e+01,1.118643576868293410e-01,1.376751448930674526e-01,8.958202766440713505e-02
1.071913161465400249e-01,7.800000000000000000e+01,1.133829608640193470e-01,1.403908926972302351e-01,8.958202766440713505e-02
1.085481682496607786e-01,7.900000000000000000e+01,1.149038737047260311e-01,1.410781590677995800e-01,9.134910185278746764e-02
1.099050203527815323e-01,8.000000000000000000e+01,1.164271032452474930e-01,1.431602107093020992e-01,9.134910185278746764e-02
1.112618724559022998e-01,8.100000000000000000e+01,1.179526565540846145e-01,1.445652879567920213e-01,9.315103293454989053e-02
1.126187245590230535e-01,8.200000000000000000e+01,1.194805407321379437e-01,1.474169491163410117e-01,9.452576919642451114e-02
1.139755766621438210e-01,8.300000000000000000e+01,1.210107629129055784e-01,1.474169491163410117e-01,9.639036247745129404e-02
1.153324287652645747e-01,8.400000000000000000e+01,1.225433302626836862e-01,1.495925495276381467e-01,9.686222965704541221e-02
1.166892808683853422e-01,8.500000000000000000e+01,1.240782499807673855e-01,1.510607583734753789e-01,9.877291141228704274e-02
1.180461329715060959e-01,8.600000000000000000e+01,1.256155292996538331e-01,1.532901346427457956e-01,1.002306161604975820e-01
1.194029850746268495e-01,8.700000000000000000e+01,1.271551754852466298e-01,1.540405476678072538e-01,1.022077419224437511e-01
1.207598371777476171e-01,8.800000000000000000e+01,1.286971958370619062e-01,1.570791155909120329e-01,1.037161383904017659e-01
1.221166892808683707e-01,8.900000000000000000e+01,1.302415976884360449e-01,1.593973116364434395e-01,1.057620187510779630e-01
1.234735413839891383e-01,9.000000000000000000e+01,1.317883884067347355e-01,1.593973116364434395e-01,1.068000432514575465e-01
1.248303934871098919e-01,9.100000000000000000e+01,1.333375753935641117e-01,1.625415458364680155e-01,1.078482556706771012e-01
1.261872455902306456e-01,9.200000000000000000e+01,1.348891660849829699e-01,1.641368454430775226e-01,1.094398956469571221e-01
1.275440976933514270e-01,9.300000000000000000e+01,1.364431679517171814e-01,1.657478024671291683e-01,1.083762135589916298e-01
1.289009497964721807e-01,9.400000000000000000e+01,1.379995884993753807e-01,1.681939322329439601e-01,1.121449991459008005e-01
1.302578018995929343e-01,9.500000000000000000e+01,1.395584352686665142e-01,1.681939322329439601e-01,1.138000510766946638e-01
1.316146540027136880e-01,9.600000000000000000e+01,1.411197158356190251e-01,1.706761623315665999e-01,1.143571452483426593e-01
1.329715061058344416e-01,9.700000000000000000e+01,1.426834378118017332e-01,1.715116865196013030e-01,1.171837918922542243e-01
1.343283582089552231e-01,9.800000000000000000e+01,1.442496088445466562e-01,1.740428805103265975e-01,1.177574507514298763e-01
1.356852103120759767e-01,9.900000000000000000e+01,1.458182366171733024e-01,1.766114302238522560e-01,1.171837918922542243e-01
1.370420624151967304e-01,1.000000000000000000e+02,1.473893288492143794e-01,1.766114302238522560e-01,1.200803067654939299e-01
1.383989145183174840e-01,1.010000000000000000e+02,1.489628932966449992e-01,1.783448217928134683e-01,1.212588612400359311e-01
1.397557666214382655e-01,1.020000000000000000e+02,1.505389377521107186e-01,1.800952261130305820e-01,1.230484168506261883e-01
1.411126187245590191e-01,1.030000000000000000e+02,1.521174700451604356e-01,1.809768601708357239e-01,1.254756412281807787e-01
1.424694708276797728e-01,1.040000000000000000e+02,1.536984980424792036e-01,1.854501935451222661e-01,1.267071493946638483e-01
1.438263229308005264e-01,1.050000000000000000e+02,1.552820296481234597e-01,1.854501935451222661e-01,1.248643829787708659e-01
1.451831750339212801e-01,1.060000000000000000e+02,1.568680728037582517e-01,1.900340974722329879e-01,1.267071493946638483e-01
1.465400271370420615e-01,1.070000000000000000e+02,1.584566354888960749e-01,1.891083408184947023e-01,1.311133937421564422e-01
1.478968792401628152e-01,1.080000000000000000e+02,1.600477257211379289e-01,1.900340974722329879e-01,1.324002348656470596e-01
1.492537313432835688e-01,1.090000000000000000e+02,1.616413515564159020e-01,1.928386478519509561e-01,1.343542164610890544e-01
1.506105834464043225e-01,1.100000000000000000e+02,1.632375210892380579e-01,1.947313050029223225e-01,1.336997059732287219e-01
1.519674355495250762e-01,1.110000000000000000e+02,1.648362424529350723e-01,1.985725293166805683e-01,1.350119310246472304e-01
1.533242876526458576e-01,1.120000000000000000e+02,1.664375238199088947e-01,1.976051774429389563e-01,1.370044564053987390e-01
1.546811397557666112e-01,1.130000000000000000e+02,1.680413734018834093e-01,2.005214629033038320e-01,1.376751448930674526e-01
1.560379918588873649e-01,1.140000000000000000e+02,1.696477994501570941e-01,2.015030910943006459e-01,1.397069743648493290e-01
1.573948439620081186e-01,1.150000000000000000e+02,1.712568102558577887e-01,2.034807873214346252e-01,1.410781590677995800e-01
1.587516960651289000e-01,1.160000000000000000e+02,1.728684141501994342e-01,2.034807873214346252e-01,1.438610339360358592e-01
1.601085481682496536e-01,1.170000000000000000e+02,1.744826195047404216e-01,2.085103662194873753e-01,1.459841556427121101e-01
1.614654002713704073e-01,1.180000000000000000e+02,1.760994347316458819e-01,2.074946018831460848e-01,1.466988031449940055e-01
1.628222523744911610e-01,1.190000000000000000e+02,1.777188682839486999e-01,2.115875920149339062e-01,1.474169491163410117e-01
1.641791044776119146e-01,1.200000000000000000e+02,1.793409286558168558e-01,2.115875920149339062e-01,1.481386106830787641e-01
1.655359565807326960e-01,1.210000000000000000e+02,1.809656243828187683e-01,2.136642647853804478e-01,1.510607583734753789e-01
1.668928086838534497e-01,1.220000000000000000e+02,1.825929640421941613e-01,2.147102319486216271e-01,1.525433772766436602e-01
1.682496607869742034e-01,1.230000000000000000e+02,1.842229562531252085e-01,2.189455559164930620e-01,1.525433772766436602e-01
1.696065128900949570e-01,1.240000000000000000e+02,1.858556096770105359e-01,2.189455559164930620e-01,1.532901346427457956e-01
1.709633649932157384e-01,1.250000000000000000e+02,1.874909330177412792e-01,2.210944450354255242e-01,1.578480771067934663e-01
1.723202170963364921e-01,1.260000000000000000e+02,1.891289350219796661e-01,2.232644248973337242e-01,1.586208029793220731e-01
1.736770691994572458e-01,1.270000000000000000e+02,1.907696244794395701e-01,2.243573884651868244e-01,1.593973116364434395e-01
1.750339213025779994e-01,1.280000000000000000e+02,1.924130102231695616e-01,2.265593932001396527e-01,1.609617514677470496e-01
1.763907734056987531e-01,1.290000000000000000e+02,1.940591011298383184e-01,2.287830099929162309e-01,1.633372480086500433e-01
1.777476255088195345e-01,1.300000000000000000e+02,1.957079061200221182e-01,2.310284509597927693e-01,1.633372480086500433e-01
1.791044776119402882e-01,1.310000000000000000e+02,1.973594341584951062e-01,2.310284509597927693e-01,1.649403572085283431e-01
1.804613297150610418e-01,1.320000000000000000e+02,1.990136942545215892e-01,2.355856643106886972e-01,1.681939322329439601e-01
1.818181818181817955e-01,1.330000000000000000e+02,2.006706954621511052e-01,2.367389449926354528e-01,1.681939322329439601e-01
1.831750339213025769e-01,1.340000000000000000e+02,2.023304468805154910e-01,2.378978714184995513e-01,1.690173049684305373e-01
1.845318860244233306e-01,1.350000000000000000e+02,2.039929576541290868e-01,2.425905893555072024e-01,1.715116865196013030e-01
1.858887381275440842e-01,1.360000000000000000e+02,2.056582369731901616e-01,2.414088022172123649e-01,1.731950255368697456e-01
1.872455902306648379e-01,1.370000000000000000e+02,2.073262940738873072e-01,2.437781617875751372e-01,1.748948860536612415e-01
1.886024423337855915e-01,1.380000000000000000e+02,2.089971382387047771e-01,2.437781617875751372e-01,1.757510624854791148e-01
1.899592944369063729e-01,1.390000000000000000e+02,2.106707787967345424e-01,2.498037994631163439e-01,1.800952261130305820e-01
1.913161465400271266e-01,1.400000000000000000e+02,2.123472251239868769e-01,2.498037994631163439e-01,1.792178869612765235e-01
1.926729986431478803e-01,1.410000000000000000e+02,2.140264866437068536e-01,2.510266832792460989e-01,1.836477425475441794e-01
1.940298507462686339e-01,1.420000000000000000e+02,2.157085728266916747e-01,2.510266832792460989e-01,1.809768601708357239e-01
1.953867028493894153e-01,1.430000000000000000e+02,2.173934931916111368e-01,2.534904396501050927e-01,1.836477425475441794e-01
1.967435549525101690e-01,1.440000000000000000e+02,2.190812573053309009e-01,2.547313709604293042e-01,1.854501935451222661e-01
1.981004070556309227e-01,1.450000000000000000e+02,2.207718747832383976e-01,2.597561425840544391e-01,1.872703350928459909e-01
1.994572591587516763e-01,1.460000000000000000e+02,2.224653552895714537e-01,2.597561425840544391e-01,1.881870940153218541e-01
2.008141112618724300e-01,1.470000000000000000e+02,2.241617085377498597e-01,2.597561425840544391e-01,1.863580421882248539e-01
2.021709633649932114e-01,1.480000000000000000e+02,2.258609442907096310e-01,2.623055761454631818e-01,1.891083408184947023e-01
2.035278154681139651e-01,1.490000000000000000e+02,2.275630723612400985e-01,2.648800316810180355e-01,1.918992287491611548e-01
2.048846675712347187e-01,1.500000000000000000e+02,2.292681026123239429e-01,2.635896608737109958e-01,1.937826657655668527e-01
2.062415196743554724e-01,1.510000000000000000e+02,2.309760449574800589e-01,2.714272592369731396e-01,1.956845881871399073e-01
2.075983717774762261e-01,1.520000000000000000e+02,2.326869093611094730e-01,2.687891690585310633e-01,1.976051774429389563e-01
2.089552238805970075e-01,1.530000000000000000e+02,2.344007058388441478e-01,2.727559980443520771e-01,1.976051774429389563e-01
2.103120759837177611e-01,1.540000000000000000e+02,2.361174444578988396e-01,2.740912415293496052e-01,2.005214629033038320e-01
2.116689280868385148e-01,1.550000000000000000e+02,2.378371353374252872e-01,2.781363192587332778e-01,2.034807873214346252e-01
2.130257801899592685e-01,1.560000000000000000e+02,2.395597886488716188e-01,2.794979014453549682e-01,2.015030910943006459e-01
2.143826322930800499e-01,1.570000000000000000e+02,2.412854146163413982e-01,2.836227714347708817e-01,2.034807873214346252e-01
2.157394843962008035e-01,1.580000000000000000e+02,2.430140235169591656e-01,2.822410948235732353e-01,2.074946018831460848e-01
2.170963364993215572e-01,1.590000000000000000e+02,2.447456256812370612e-01,2.836227714347708817e-01,2.074946018831460848e-01
2.184531886024423109e-01,1.600000000000000000e+02,2.464802314934453620e-01,2.892174480870656206e-01,2.105568368832930470e-01
2.198100407055630645e-01,1.610000000000000000e+02,2.482178513919861551e-01,2.878085168452242937e-01,2.115875920149339062e-01
2.211668928086838459e-01,1.620000000000000000e+02,2.499584958697701753e-01,2.878085168452242937e-01,2.115875920149339062e-01
2.225237449118045996e-01,1.630000000000000000e+02,2.517021754745970008e-01,2.892174480870656206e-01,2.147102319486216271e-01
2.238805970149253532e-01,1.640000000000000000e+02,2.534489008095386908e-01,2.949224840264002556e-01,2.178789562488953058e-01
2.252374491180461069e-01,1.650000000000000000e+02,2.551986825333263376e-01,2.978170653491408193e-01,2.178789562488953058e-01
2.265943012211668883e-01,1.660000000000000000e+02,2.569515313607407259e-01,2.978170653491408193e-01,2.200173769917496969e-01
2.279511533242876420e-01,1.670000000000000000e+02,2.587074580630056575e-01,3.007400561743360234e-01,2.189455559164930620e-01
2.293080054274083956e-01,1.680000000000000000e+02,2.604664734681851890e-01,3.007400561743360234e-01,2.243573884651868244e-01
2.306648575305291493e-01,1.690000000000000000e+02,2.622285884615844775e-01,3.007400561743360234e-01,2.243573884651868244e-01
2.320217096336499030e-01,1.700000000000000000e+02,2.639938139861535693e-01,3.051784209202383913e-01,2.276684868805883832e-01
2.333785617367706844e-01,1.710000000000000000e+02,2.657621610428957393e-01,3.051784209202383913e-01,2.265593932001396527e-01
2.347354138398914380e-01,1.720000000000000000e+02,2.675336406912776077e-01,3.066723843938824468e-01,2.299029891162405748e-01
2.360922659430121917e-01,1.730000000000000000e+02,2.693082640496462510e-01,3.111982992877953547e-01,2.321594223635562448e-01
2.374491180461329454e-01,1.740000000000000000e+02,2.710860422956454241e-01,3.157910082807835472e-01,2.310284509597927693e-01
2.388059701492536990e-01,1.750000000000000000e+02,2.728669866666403321e-01,3.142526231646631252e-01,2.367389449926354528e-01
2.401628222523744804e-01,1.760000000000000000e+02,2.746511084601417352e-01,3.188904083061039341e-01,2.310284509597927693e-01
2.415196743554952341e-01,1.770000000000000000e+02,2.764384190342374370e-01,3.235966385437273884e-01,2.378978714184995513e-01
2.428765264586159878e-01,1.780000000000000000e+02,2.782289298080256601e-01,3.235966385437273884e-01,2.402327721894630952e-01
2.442333785617367414e-01,1.790000000000000000e+02,2.800226522620525849e-01,3.204514971297113268e-01,2.425905893555072024e-01
2.455902306648575228e-01,1.800000000000000000e+02,2.818195979387542183e-01,3.267726486370994277e-01,2.425905893555072024e-01
2.469470827679782765e-01,1.810000000000000000e+02,2.836197784429020929e-01,3.267726486370994277e-01,2.414088022172123649e-01
2.483039348710990302e-01,1.820000000000000000e+02,2.854232054420527409e-01,3.283723240000482879e-01,2.461707759564534248e-01
2.496607869742197838e-01,1.830000000000000000e+02,2.872298906670017749e-01,3.315952061044535881e-01,2.449715478346112252e-01
2.510176390773405375e-01,1.840000000000000000e+02,2.890398459122412445e-01,3.315952061044535881e-01,2.461707759564534248e-01
2.523744911804612912e-01,1.850000000000000000e+02,2.908530830364220443e-01,3.315952061044535881e-01,2.522555535728872034e-01
2.537313432835820448e-01,1.860000000000000000e+02,2.926696139628199300e-01,3.315952061044535881e-01,2.534904396501050927e-01
2.550881953867028540e-01,1.870000000000000000e+02,2.944894506798059197e-01,3.397914799309538769e-01,2.534904396501050927e-01
2.564450474898236076e-01,1.880000000000000000e+02,2.963126052413211364e-01,3.381361758165139508e-01,2.559783770975559425e-01
2.578018995929443613e-01,1.890000000000000000e+02,2.981390897673553142e-01,3.448061711718483080e-01,2.610277468734568673e-01
2.591587516960651150e-01,1.900000000000000000e+02,2.999689164444316325e-01,3.464941274292549500e-01,2.572314878000531158e-01
2.605156037991858686e-01,1.910000000000000000e+02,3.018020975260924388e-01,3.448061711718483080e-01,2.610277468734568673e-01
2.618724559023066223e-01,1.920000000000000000e+02,3.036386453333940194e-01,3.498948699430272091e-01,2.610277468734568673e-01
2.632293080054273759e-01,1.930000000000000000e+02,3.054785722554010374e-01,3.498948699430272091e-01,2.661767193401121667e-01
2.645861601085481296e-01,1.940000000000000000e+02,3.073218907496904073e-01,3.533289897891396247e-01,2.661767193401121667e-01
2.659430122116688833e-01,1.950000000000000000e+02,3.091686133428549477e-01,3.498948699430272091e-01,2.661767193401121667e-01
2.672998643147896924e-01,1.960000000000000000e+02,3.110187526310165262e-01,3.533289897891396247e-01,2.648800316810180355e-01
2.686567164179104461e-01,1.970000000000000000e+02,3.128723212803394271e-01,3.585434695359823731e-01,2.714272592369731396e-01
2.700135685210311998e-01,1.980000000000000000e+02,3.147293320275521555e-01,3.602986750501375179e-01,2.740912415293496052e-01
