# Fraction frozen, Temperatures, k, k_upper, k_lower
1.303780964797913913e-03,0.000000000000000000e+00,1.304631626664858133e-03,4.806541906191942777e-03,1.308117207742261028e-04
2.607561929595827825e-03,1.000000000000000000e+00,2.610967540720402109e-03,7.351001961180651800e-03,3.440128220101092171e-04
3.911342894393741304e-03,2.000000000000000000e+00,3.919012200735719209e-03,9.113052359600685992e-03,8.046411535604059643e-04
5.215123859191655650e-03,3.000000000000000000e+00,5.228770082799176142e-03,1.146419956460381986e-02,1.496063336590463351e-03
6.518904823989569997e-03,4.000000000000000000e+00,6.540245680609878438e-03,1.320834303000047172e-02,2.147300163166346310e-03
7.822685788787482608e-03,5.000000000000000000e+00,7.853443505570397928e-03,1.544242448226208590e-02,2.850374740911031449e-03
9.126466753585396954e-03,6.000000000000000000e+00,9.168368086879442533e-03,1.719389022568289585e-02,3.603318745931546451e-03
1.043024771838331130e-02,7.000000000000000000e+00,1.048502397162624951e-02,1.895793877825712251e-02,4.532966954229949649e-03
1.173402868318122565e-02,8.000000000000000000e+00,1.180341572488448863e-02,2.110813095657253224e-02,5.430676606339216415e-03
1.303780964797913999e-02,9.000000000000000000e+00,1.312354792980745255e-02,2.260172865322187391e-02,6.349230421295145449e-03
1.434159061277705260e-02,1.000000000000000000e+01,1.444542518772320115e-02,2.443853849408276352e-02,7.034915796342404437e-03
1.564537157757496522e-02,1.100000000000000000e+01,1.576905211823146843e-02,2.591346034152777061e-02,8.065711003415628605e-03
1.694915254237288130e-02,1.200000000000000000e+01,1.709443335930006802e-02,2.761190932756964200e-02,8.936767762649079280e-03
1.825293350717079391e-02,1.300000000000000000e+01,1.842157356736264656e-02,2.857211417772472992e-02,9.999078639849593234e-03
1.955671447196870999e-02,1.400000000000000000e+01,1.975047741741637122e-02,3.089412862631268908e-02,1.102495818020835482e-02
2.086049543676662260e-02,1.500000000000000000e+01,2.108114960312142128e-02,3.275866014401198484e-02,1.227539891232669322e-02
2.216427640156453521e-02,1.600000000000000000e+01,2.241359483690000959e-02,3.423054119417947433e-02,1.301624739008148089e-02
2.346805736636245129e-02,1.700000000000000000e+01,2.374781785003673984e-02,3.594365597724222261e-02,1.400549682494662239e-02
2.477183833116036391e-02,1.800000000000000000e+01,2.508382339277894640e-02,3.792726976116914117e-02,1.499651672344959330e-02
2.607561929595827999e-02,1.900000000000000000e+01,2.642161623443885221e-02,3.924619153313993469e-02,1.597943518695886522e-02
2.737940026075619260e-02,2.000000000000000000e+01,2.776120116349527905e-02,4.041314127428240893e-02,1.719389022568289585e-02
2.868318122555410521e-02,2.100000000000000000e+01,2.910258298769669710e-02,4.222894621129331255e-02,1.814276525588531114e-02
2.998696219035202129e-02,2.200000000000000000e+01,3.044576653416431952e-02,4.412633717367392405e-02,1.905074503888620763e-02
3.129074315514993043e-02,2.300000000000000000e+01,3.179075664949698732e-02,4.477755996643653646e-02,2.039876343843448001e-02
3.259452411994784998e-02,2.400000000000000000e+01,3.313755819987578705e-02,4.818070486403512598e-02,2.121146321889607472e-02
3.389830508474576259e-02,2.500000000000000000e+01,3.448617607116932077e-02,4.889176259482601317e-02,2.216451656787211261e-02
3.520208604954367521e-02,2.600000000000000000e+01,3.583661516904074196e-02,5.083964168304219711e-02,2.361724809020307458e-02
3.650586701434158782e-02,2.700000000000000000e+01,3.718888041905437508e-02,5.235131209956415954e-02,2.504260317815989317e-02
3.780964797913950043e-02,2.800000000000000000e+01,3.854297676678373336e-02,5.390793065837313353e-02,2.591346034152777061e-02
3.911342894393741998e-02,2.900000000000000000e+01,3.989890917791959896e-02,5.524041120381513459e-02,2.707777936597157917e-02
4.041720990873533259e-02,3.000000000000000000e+01,4.125668263837993510e-02,5.633007067389840528e-02,2.871198545308421141e-02
4.172099087353324520e-02,3.100000000000000000e+01,4.261630215441946506e-02,5.828895031633771207e-02,2.942167995572982434e-02
4.302477183833115781e-02,3.200000000000000000e+01,4.397777275274064590e-02,6.002211913669776300e-02,3.014891648060546991e-02
4.432855280312907043e-02,3.300000000000000000e+01,4.534109948060470463e-02,6.150572841401712870e-02,3.150353900349879555e-02
4.563233376792698998e-02,3.400000000000000000e+01,4.670628740594461037e-02,6.395615596714131212e-02,3.244026802736246079e-02
4.693611473272490259e-02,3.500000000000000000e+01,4.807334161747763013e-02,6.490003006073211123e-02,3.373270905122758428e-02
4.823989569752281520e-02,3.600000000000000000e+01,4.944226722481941116e-02,6.650421012103821528e-02,3.473572041507227287e-02
4.954367666232072781e-02,3.700000000000000000e+01,5.081306935859804252e-02,6.915378038191513643e-02,3.611961373001288528e-02
