# Fraction frozen, Temperatures, k, k_upper, k_lower
1.210653753026634440e-03,0.000000000000000000e+00,1.211387186297093171e-03,4.577456751356233887e-03,1.295403189379856778e-04
2.421307506053268881e-03,1.000000000000000000e+00,2.424243611506391501e-03,6.699623853420779394e-03,3.324518021235524671e-04
3.631961259079903321e-03,2.000000000000000000e+00,3.638572843908291412e-03,8.636435498224095259e-03,7.514677794337428288e-04
4.842615012106537761e-03,3.000000000000000000e+00,4.854378464798199400e-03,1.055089535624408222e-02,1.350243716321827912e-03
6.053268765133172635e-03,4.000000000000000000e+00,6.071664068549795235e-03,1.245656100449168448e-02,1.938005217733556468e-03
7.263922518159806642e-03,5.000000000000000000e+00,7.290433262679232342e-03,1.428176598942144417e-02,2.597800776851992826e-03
8.474576271186440649e-03,6.000000000000000000e+00,8.510689667908619138e-03,1.590159090193802444e-02,3.431580550583504183e-03
9.685230024213075523e-03,7.000000000000000000e+00,9.732436918231000475e-03,1.744764011584834171e-02,4.192267435236913739e-03
1.089588377723971040e-02,8.000000000000000000e+00,1.095567866097518425e-02,1.914400562116451085e-02,5.071799363145714987e-03
1.210653753026634527e-02,9.000000000000000000e+00,1.218041855687107197e-02,2.069981130567521976e-02,5.786620083358246652e-03
1.331719128329297841e-02,1.000000000000000000e+01,1.340666028011538481e-02,2.216451656787211261e-02,6.765378779293989425e-03
1.452784503631961328e-02,1.100000000000000000e+01,1.463440751843780863e-02,2.373286342725200102e-02,7.569577305707878359e-03
1.573849878934624816e-02,1.200000000000000000e+01,1.586366397316752927e-02,2.553658772885298092e-02,8.387054087839644970e-03
1.694915254237288130e-02,1.300000000000000000e+01,1.709443335930006802e-02,2.694586917327488132e-02,9.292814305404543604e-03
1.815980629539951791e-02,1.400000000000000000e+01,1.832671940556511100e-02,2.829441246861314277e-02,1.019631813344820497e-02
1.937046004842615105e-02,1.500000000000000000e+01,1.956052585449359615e-02,3.014891648060546991e-02,1.118766608927290566e-02
2.058111380145278418e-02,1.600000000000000000e+01,2.079585646248636663e-02,3.150353900349879555e-02,1.227539891232669322e-02
2.179176755447942079e-02,1.700000000000000000e+01,2.203271499988269239e-02,3.340484983513244271e-02,1.340327364483734698e-02
2.300242130750605393e-02,1.800000000000000000e+01,2.327110525102928443e-02,3.473572041507227287e-02,1.400549682494662239e-02
2.421307506053269054e-02,1.900000000000000000e+01,2.451103101434980516e-02,3.647411759102790751e-02,1.485076067967495451e-02
2.542372881355932368e-02,2.000000000000000000e+01,2.575249610241473960e-02,3.848700583077574455e-02,1.590159090193802444e-02
2.663438256658595682e-02,2.100000000000000000e+01,2.699550434201175228e-02,4.021626747673352764e-02,1.677914812425904817e-02
2.784503631961259343e-02,2.200000000000000000e+01,2.824005957421634946e-02,4.080978490188504754e-02,1.787890580782181341e-02
2.905569007263922657e-02,2.300000000000000000e+01,2.948616565446354060e-02,4.285216703696265172e-02,1.905074503888620763e-02
3.026634382566585971e-02,2.400000000000000000e+01,3.073382645261882665e-02,4.412633717367392405e-02,1.971323518284527967e-02
3.147699757869249632e-02,2.500000000000000000e+01,3.198304585305076359e-02,4.521703913732649793e-02,2.121146321889607472e-02
3.268765133171912945e-02,2.600000000000000000e+01,3.323382775470340444e-02,4.678946282502715465e-02,2.194909239259953959e-02
3.389830508474576259e-02,2.700000000000000000e+01,3.448617607116932077e-02,4.865358494598714251e-02,2.282355827003538715e-02
3.510895883777239573e-02,2.800000000000000000e+01,3.574009473076306120e-02,4.937162150863531190e-02,2.373286342725200102e-02
3.631961259079903581e-02,2.900000000000000000e+01,3.699558767659509584e-02,5.108852090411748759e-02,2.528838929267603411e-02
3.753026634382566895e-02,3.000000000000000000e+01,3.825265886664622889e-02,5.312392024820979802e-02,2.616779367443650486e-02
3.874092009685230209e-02,3.100000000000000000e+01,3.951131227384230282e-02,5.417183031124011422e-02,2.681460158493292542e-02
3.995157384987893523e-02,3.200000000000000000e+01,4.077155188613005438e-02,5.524041120381513459e-02,2.815657541223823973e-02
4.116222760290556837e-02,3.300000000000000000e+01,4.203338170655219336e-02,5.744122451259450757e-02,2.885254145109141313e-02
4.237288135593220845e-02,3.400000000000000000e+01,4.329680575332418846e-02,5.857429671280661027e-02,2.985588931494147918e-02
4.358353510895884159e-02,3.500000000000000000e+01,4.456182805991090040e-02,6.061121937291048117e-02,3.104536703818530988e-02
4.479418886198547473e-02,3.600000000000000000e+01,4.582845267510384651e-02,6.210938985846919946e-02,3.244026802736246079e-02
4.600484261501210786e-02,3.700000000000000000e+01,4.709668366309897880e-02,6.302600911379559190e-02,3.340484983513244271e-02
4.721549636803874100e-02,3.800000000000000000e+01,4.836652510357489221e-02,6.364459168619560070e-02,3.406378611341720486e-02
4.842615012106538108e-02,3.900000000000000000e+01,4.963798109177158802e-02,6.650421012103821528e-02,3.542090913607574831e-02
4.963680387409201422e-02,4.000000000000000000e+01,5.091105573856959110e-02,6.848165220532556607e-02,3.647411759102790751e-02
5.084745762711864736e-02,4.100000000000000000e+01,5.218575317057019131e-02,6.983250530772472375e-02,3.792726976116914117e-02
5.205811138014528050e-02,4.200000000000000000e+01,5.346207753017494929e-02,7.051789172799448335e-02,3.886474498014490242e-02
5.326876513317191364e-02,4.300000000000000000e+01,5.474003297566698567e-02,7.226093245846895718e-02,4.021626747673352764e-02
