# Fraction frozen, Temperatures, k, k_upper, k_lower
5.555555555555555247e-02,0.000000000000000000e+00,5.715841383994863661e-02,2.095311031053678774e-01,1.641519697514314891e-03
1.111111111111111049e-01,1.000000000000000000e+00,1.177830356563835112e-01,3.299798303772435437e-01,1.353482301003410167e-02
1.666666666666666574e-01,2.000000000000000000e+00,1.823215567939545922e-01,4.510468858456183061e-01,3.867541424034717790e-02
2.222222222222222099e-01,3.000000000000000000e+00,2.513144282809060548e-01,5.591637587708887525e-01,7.051789172799448335e-02
2.777777777777777901e-01,4.000000000000000000e+00,3.254224004346280008e-01,6.601579522356240126e-01,1.047340831498279751e-01
3.333333333333333148e-01,5.000000000000000000e+00,4.054651081081642738e-01,7.908957607443733995e-01,1.445652879567920213e-01
3.888888888888888395e-01,6.000000000000000000e+00,4.924764850977940700e-01,9.291958102525931240e-01,1.956845881871399073e-01
4.444444444444444198e-01,7.000000000000000000e+00,5.877866649021189493e-01,1.060156909212796039e+00,2.449715478346112252e-01
5.000000000000000000e-01,8.000000000000000000e+00,6.931471805599452862e-01,1.227426790598789008e+00,3.142526231646631252e-01
5.555555555555555802e-01,9.000000000000000000e+00,8.109302162163287697e-01,1.400420641428049340e+00,3.857931763050262419e-01
6.111111111111110494e-01,1.000000000000000000e+01,9.444616088408511745e-01,1.629314047590489700e+00,4.644583539682310969e-01
6.666666666666666297e-01,1.100000000000000000e+01,1.098612288668109560e+00,1.868050254205294136e+00,5.591637587708887525e-01
7.222222222222222099e-01,1.200000000000000000e+01,1.280933845462064236e+00,2.194707009069275294e+00,6.764755444253024441e-01
7.777777777777776791e-01,1.300000000000000000e+01,1.504077396776273723e+00,2.553423488942190733e+00,7.947674937930243599e-01
8.333333333333332593e-01,1.400000000000000000e+01,1.791759469228054513e+00,3.119447142000257411e+00,9.662155655567445933e-01
8.888888888888888395e-01,1.500000000000000000e+01,2.197224577336219120e+00,3.943468275374728105e+00,1.168926259060388162e+00
9.444444444444444198e-01,1.600000000000000000e+01,2.890371757896164073e+00,5.771710265767304726e+00,1.506854184567513633e+00
1.000000000000000000e+00,1.700000000000000000e+01,inf,1.909467913564105146e+01,2.565923459987725863e+00
