# Fraction frozen, Temperatures, k, k_upper, k_lower
4.761904761904761640e-02,0.000000000000000000e+00,4.879016416943205564e-02,1.774760097868070818e-01,1.242675520088091460e-03
9.523809523809523281e-02,1.000000000000000000e+00,1.000834585569825297e-01,2.808661490903240909e-01,1.251754056881280996e-02
1.428571428571428492e-01,2.000000000000000000e+00,1.541506798272582190e-01,3.764872734200162552e-01,3.291902614090352897e-02
1.904761904761904656e-01,3.000000000000000000e+00,2.113090936672069042e-01,4.488495977732473441e-01,5.633007067389840528e-02
2.380952380952380820e-01,4.000000000000000000e+00,2.719337154836418136e-01,5.701936926869125566e-01,8.742117645995718667e-02
2.857142857142856984e-01,5.000000000000000000e+00,3.364722366212128946e-01,6.731800740614414247e-01,1.218524691006507843e-01
3.333333333333333148e-01,6.000000000000000000e+00,4.054651081081642738e-01,7.605932396739571999e-01,1.609617514677470496e-01
3.809523809523809312e-01,7.000000000000000000e+00,4.795730802618862199e-01,8.763085777860126768e-01,2.085103662194873753e-01
4.285714285714285476e-01,8.000000000000000000e+00,5.596157879354227704e-01,9.949451049099380384e-01,2.498037994631163439e-01
4.761904761904761640e-01,9.000000000000000000e+00,6.466271649250524556e-01,1.146314329894029704e+00,3.036917353332714287e-01
5.238095238095237249e-01,1.000000000000000000e+01,7.419373447293771129e-01,1.257765968887636143e+00,3.692044328707313472e-01
5.714285714285713969e-01,1.100000000000000000e+01,8.472978603872035608e-01,1.407276228660338857e+00,4.316522943243447097e-01
6.190476190476190688e-01,1.200000000000000000e+01,9.650808960435871553e-01,1.597796290547813802e+00,5.022042135141240315e-01
6.666666666666666297e-01,1.300000000000000000e+01,1.098612288668109560e+00,1.831914339129485869e+00,5.900221928732124477e-01
7.142857142857141906e-01,1.400000000000000000e+01,1.252762968495367613e+00,2.019864000082552291e+00,6.831149618391642031e-01
7.619047619047618625e-01,1.500000000000000000e+01,1.435084525289322510e+00,2.350003057796191897e+00,8.144123254661252975e-01
8.095238095238095344e-01,1.600000000000000000e+01,1.658228076603532442e+00,2.720782825695043261e+00,9.156820437358480502e-01
8.571428571428570953e-01,1.700000000000000000e+01,1.945910149055313010e+00,3.275564189160821371e+00,1.091679708813151128e+00
9.047619047619046562e-01,1.800000000000000000e+01,2.351375257163476729e+00,4.100578573326217224e+00,1.301504812491619090e+00
9.523809523809523281e-01,1.900000000000000000e+01,3.044522437723421682e+00,5.972421637267649963e+00,1.661453516559070920e+00
1.000000000000000000e+00,2.000000000000000000e+01,inf,1.918815479189350270e+01,2.707528452728462209e+00
