# Fraction frozen, Temperatures, k, k_upper, k_lower
1.049317943336831090e-03,0.000000000000000000e+00,1.049868862836814826e-03,3.915228405122051121e-03,1.233662826764593318e-04
2.098635886673662181e-03,1.000000000000000000e+00,2.100841108811838873e-03,5.929652074955223118e-03,2.761445361328309245e-04
3.147953830010493271e-03,2.000000000000000000e+00,3.152919059615641971e-03,7.532701888875024086e-03,6.458981871809265762e-04
4.197271773347324361e-03,3.000000000000000000e+00,4.206105044274200538e-03,9.292814305404543604e-03,1.121553326913204149e-03
5.246589716684155885e-03,4.000000000000000000e+00,5.260401399180276993e-03,1.086461661488885046e-02,1.732109845067433037e-03
6.295907660020986542e-03,5.000000000000000000e+00,6.315810468123853744e-03,1.227539891232669322e-02,2.243780617656604588e-03
7.345225603357817198e-03,6.000000000000000000e+00,7.372334602323836993e-03,1.366766349529170352e-02,2.963935493412674007e-03
8.394543546694648722e-03,7.000000000000000000e+00,8.429976160459375437e-03,1.521783746131001938e-02,3.620958350245916547e-03
9.443861490031480246e-03,8.000000000000000000e+00,9.488737508701458254e-03,1.669740801431713120e-02,4.295890681956286705e-03
1.049317943336831177e-02,9.000000000000000000e+00,1.054862102074466748e-02,1.796642979508495178e-02,5.146649703263457554e-03
1.154249737670514156e-02,1.000000000000000000e+01,1.160962907783900759e-02,1.933189865785988476e-02,5.814947771188611232e-03
1.259181532004197308e-02,1.100000000000000000e+01,1.267176406882244803e-02,2.069981130567521976e-02,6.474473860030208194e-03
1.364113326337880461e-02,1.200000000000000000e+01,1.373502839015251949e-02,2.227302023619679230e-02,7.315191340519796789e-03
1.469045120671563440e-02,1.300000000000000000e+01,1.479942444593920770e-02,2.361724809020307458e-02,8.105195700897625463e-03
1.573976915005246766e-02,1.400000000000000000e+01,1.586495464797745697e-02,2.467839588343567411e-02,8.763893248060235577e-03
1.678908709338929744e-02,1.500000000000000000e+01,1.693162141577995994e-02,2.655398171469988688e-02,9.710350224722380866e-03
1.783840503672612723e-02,1.600000000000000000e+01,1.799942717661011729e-02,2.721033530881367818e-02,1.029639213128946511e-02
1.888772298006296049e-02,1.700000000000000000e+01,1.906837436551506865e-02,2.871198545308421141e-02,1.113316504730352957e-02
1.993704092339979028e-02,1.800000000000000000e+01,2.013846542535946416e-02,3.000204515379529743e-02,1.209687155246267666e-02
2.098635886673662354e-02,1.900000000000000000e+01,2.120970280685827505e-02,3.150353900349879555e-02,1.288973823069759252e-02
2.203567681007345333e-02,2.000000000000000000e+01,2.228208896861093302e-02,3.275866014401198484e-02,1.393726863828396827e-02
2.308499475341028312e-02,2.100000000000000000e+01,2.335562637713506362e-02,3.389784338489912341e-02,1.456348477501244465e-02
2.413431269674711638e-02,2.200000000000000000e+01,2.443031750690052850e-02,3.576855540780112669e-02,1.529233451534972935e-02
2.518363064008394617e-02,2.300000000000000000e+01,2.550616484036364803e-02,3.647411759102790751e-02,1.613626885392328153e-02
2.623294858342077596e-02,2.400000000000000000e+01,2.658317086800149331e-02,3.811293805156585474e-02,1.686128838286880469e-02
2.728226652675760922e-02,2.500000000000000000e+01,2.766133808834693106e-02,3.924619153313993469e-02,1.814276525588531114e-02
2.833158447009443900e-02,2.600000000000000000e+01,2.874066900802271785e-02,4.021626747673352764e-02,1.914400562116451085e-02
2.938090241343126879e-02,2.700000000000000000e+01,2.982116614177692665e-02,4.181850929143807877e-02,1.990671504776443668e-02
3.043022035676810205e-02,2.800000000000000000e+01,3.090283201251797437e-02,4.348458544467921627e-02,2.080114468930290700e-02
3.147953830010493531e-02,2.900000000000000000e+01,3.198566915134999633e-02,4.434235223713870605e-02,2.162987559612319227e-02
3.252885624344176163e-02,3.000000000000000000e+01,3.306968009760834215e-02,4.543839359828018981e-02,2.260172865322187391e-02
3.357817418677859489e-02,3.100000000000000000e+01,3.415486739889522783e-02,4.701851489299851972e-02,2.361724809020307458e-02
3.462749213011542815e-02,3.200000000000000000e+01,3.524123361111609204e-02,4.841656758651805698e-02,2.384904474498207236e-02
3.567681007345225447e-02,3.300000000000000000e+01,3.632878129851505045e-02,5.034551460171453330e-02,2.541218549621043418e-02
3.672612801678908773e-02,3.400000000000000000e+01,3.741751303371165793e-02,5.108852090411748759e-02,2.616779367443650486e-02
3.777544596012592099e-02,3.500000000000000000e+01,3.850743139773728924e-02,5.209628115431406969e-02,2.694586917327488132e-02
3.882476390346274731e-02,3.600000000000000000e+01,3.959853898007188733e-02,5.286512551980782071e-02,2.843292428936659497e-02
3.987408184679958056e-02,3.700000000000000000e+01,4.069083837868073955e-02,5.524041120381513459e-02,2.871198545308421141e-02
4.092339979013641382e-02,3.800000000000000000e+01,4.178433220005206561e-02,5.605565709009653619e-02,3.000204515379529743e-02
4.197271773347324708e-02,3.900000000000000000e+01,4.287902305923362023e-02,5.716139791042813140e-02,3.059385850042439445e-02
4.302203567681007340e-02,4.000000000000000000e+01,4.397491357987071831e-02,5.772242097151986107e-02,3.119734581912619181e-02
4.407135362014690666e-02,4.100000000000000000e+01,4.507200639424380206e-02,6.002211913669776300e-02,3.244026802736246079e-02
4.512067156348373992e-02,4.200000000000000000e+01,4.617030414330641069e-02,6.120610146243484623e-02,3.340484983513244271e-02
4.616998950682056624e-02,4.300000000000000000e+01,4.726980947672332345e-02,6.241343874744067349e-02,3.439811260395662929e-02
4.721930745015739950e-02,4.400000000000000000e+01,4.837052505290887622e-02,6.364459168619560070e-02,3.507664175200365941e-02
4.826862539349423276e-02,4.500000000000000000e+01,4.947245353906547238e-02,6.490003006073211123e-02,3.647411759102790751e-02
4.931794333683105908e-02,4.600000000000000000e+01,5.057559761122275982e-02,6.650421012103821528e-02,3.737567421745833368e-02
5.036726128016789233e-02,4.700000000000000000e+01,5.167995995427598216e-02,6.715693025912962411e-02,3.811293805156585474e-02
5.141657922350472559e-02,4.800000000000000000e+01,5.278554326202562763e-02,6.814804183733708109e-02,3.886474498014490242e-02
5.246589716684155191e-02,4.900000000000000000e+01,5.389235023721671708e-02,6.983250530772472375e-02,4.002035275563699257e-02
5.351521511017838517e-02,5.000000000000000000e+01,5.500038359157850137e-02,7.017436175972484314e-02,4.121032147525625217e-02
5.456453305351521843e-02,5.100000000000000000e+01,5.610964604586414495e-02,7.261467697729463711e-02,4.161478920256496405e-02
5.561385099685204475e-02,5.200000000000000000e+01,5.722014032989132526e-02,7.297015320896073354e-02,4.285216703696265172e-02
5.666316894018887801e-02,5.300000000000000000e+01,5.833186918258181919e-02,7.404705716257975467e-02,4.434235223713870605e-02
5.771248688352571127e-02,5.400000000000000000e+01,5.944483535200250496e-02,7.624877893003506601e-02,4.499676301109162280e-02
5.876180482686253759e-02,5.500000000000000000e+01,6.055904159540601017e-02,7.662204546142327433e-02,4.521703913732649793e-02
5.981112277019937085e-02,5.600000000000000000e+01,6.167449067927167211e-02,7.890033215942077183e-02,4.656152659089197315e-02
6.086044071353620410e-02,5.700000000000000000e+01,6.279118537934678945e-02,8.006475454182986062e-02,4.771242085803830552e-02
6.190975865687303736e-02,5.800000000000000000e+01,6.390912848068804053e-02,8.164409321989472834e-02,4.841656758651805698e-02
6.295907660020987062e-02,5.900000000000000000e+01,6.502832277770302649e-02,8.204377184966649139e-02,4.985619010286809066e-02
6.400839454354669000e-02,6.000000000000000000e+01,6.614877107419271651e-02,8.366214816166543666e-02,5.083964168304219711e-02
6.505771248688352326e-02,6.100000000000000000e+01,6.727047618339279667e-02,8.573008479833162110e-02,5.108852090411748759e-02
6.610703043022035652e-02,6.200000000000000000e+01,6.839344092801660779e-02,8.614976589798113704e-02,5.312392024820979802e-02
6.715634837355718978e-02,6.300000000000000000e+01,6.951766814029756991e-02,8.742117645995718667e-02,5.364531660036944705e-02
6.820566631689402304e-02,6.400000000000000000e+01,7.064316066203209232e-02,8.914562620136017024e-02,5.443702185244207042e-02
6.925498426023085630e-02,6.500000000000000000e+01,7.176992134462256701e-02,9.002056547721196123e-02,5.578258032007945427e-02
7.030430220356768956e-02,6.600000000000000000e+01,7.289795304912112528e-02,9.269724495813499998e-02,5.660582761569268873e-02
7.135362014690450894e-02,6.700000000000000000e+01,7.402725864627257568e-02,9.315103293454989053e-02,5.772242097151986107e-02
7.240293809024134219e-02,6.800000000000000000e+01,7.515784101655867411e-02,9.406528415217552119e-02,5.886103998750941840e-02
7.345225603357817545e-02,6.900000000000000000e+01,7.628970305024211640e-02,9.498850848864488772e-02,5.972971963102279014e-02
7.450157397691500871e-02,7.000000000000000000e+01,7.742284764741085012e-02,9.686222965704541221e-02,6.002211913669776300e-02
7.555089192025184197e-02,7.100000000000000000e+01,7.855727771802265003e-02,9.829173629074135221e-02,6.120610146243484623e-02
7.660020986358867523e-02,7.200000000000000000e+01,7.969299618195002655e-02,9.877291141228704274e-02,6.241343874744067349e-02
7.764952780692549461e-02,7.300000000000000000e+01,8.083000596902507884e-02,1.002306161604975820e-01,6.364459168619560070e-02
7.869884575026232787e-02,7.400000000000000000e+01,8.196831001908543024e-02,1.017098339237905436e-01,6.521774018603115897e-02
7.974816369359916113e-02,7.500000000000000000e+01,8.310791128201906741e-02,1.022077419224437511e-01,6.585783398314204451e-02
8.079748163693599439e-02,7.600000000000000000e+01,8.424881271781069214e-02,1.042238680061309403e-01,6.682977331277628608e-02
8.184679958027282765e-02,7.700000000000000000e+01,8.539101729658771234e-02,1.052467959890896337e-01,6.748568876212816814e-02
8.289611752360966090e-02,7.800000000000000000e+01,8.653452799866670486e-02,1.057620187510779630e-01,6.748568876212816814e-02
8.394543546694649416e-02,7.900000000000000000e+01,8.767934781459985061e-02,1.083762135589916298e-01,6.983250530772472375e-02
8.499475341028331354e-02,8.000000000000000000e+01,8.882547974522245204e-02,1.089067560002977830e-01,6.983250530772472375e-02
8.604407135362014680e-02,8.100000000000000000e+01,8.997292680169929890e-02,1.105140174757763827e-01,7.226093245846895718e-02
8.709338929695698006e-02,8.200000000000000000e+01,9.112169200557271309e-02,1.110550252735643534e-01,7.226093245846895718e-02
8.814270724029381332e-02,8.300000000000000000e+01,9.227177838881009397e-02,1.126939912141165373e-01,7.368633476186420284e-02
8.919202518363064658e-02,8.400000000000000000e+01,9.342318899385197717e-02,1.154795285005064814e-01,7.477380822523355119e-02
9.024134312696747984e-02,8.500000000000000000e+01,9.457592687366031536e-02,1.160448443475875502e-01,7.587733077745173471e-02
9.129066107030429922e-02,8.600000000000000000e+01,9.572999509176691180e-02,1.171837918922542243e-01,7.699713927326645724e-02
9.233997901364113248e-02,8.700000000000000000e+01,9.688539672232275579e-02,1.171837918922542243e-01,7.699713927326645724e-02
9.338929695697796574e-02,8.800000000000000000e+01,9.804213485014648399e-02,1.206681451574440067e-01,7.813347406296164421e-02
9.443861490031479899e-02,8.900000000000000000e+01,9.920021257077417387e-02,1.206681451574440067e-01,7.890033215942077183e-02
9.548793284365163225e-02,9.000000000000000000e+01,1.003596329905090401e-01,1.230484168506261883e-01,8.244540705707657791e-02
9.653725078698846551e-02,9.100000000000000000e+01,1.015203992264713528e-01,1.236507852609162600e-01,8.244540705707657791e-02
9.758656873032528489e-02,9.200000000000000000e+01,1.026825144066486339e-01,1.248643829787708659e-01,8.366214816166543666e-02
9.863588667366211815e-02,9.300000000000000000e+01,1.038459816699466992e-01,1.254756412281807787e-01,8.366214816166543666e-02
9.968520461699895141e-02,9.400000000000000000e+01,1.050108041662397990e-01,1.279507444678106842e-01,8.448326864113160639e-02
1.007345225603357847e-01,9.500000000000000000e+01,1.061769850564223128e-01,1.285771116207832243e-01,8.573008479833162110e-02
1.017838405036726179e-01,9.600000000000000000e+01,1.073445275124600140e-01,1.292065450772146018e-01,8.699530164663711596e-02
1.028331584470094512e-01,9.700000000000000000e+01,1.085134347174419173e-01,1.304746710167847823e-01,8.742117645995718667e-02
1.038824763903462844e-01,9.800000000000000000e+01,1.096837098656322923e-01,1.317552432561739373e-01,9.002056547721196123e-02
1.049317943336831038e-01,9.900000000000000000e+01,1.108553561625230527e-01,1.350119310246472304e-01,9.046125009801236905e-02
1.059811122770199371e-01,1.000000000000000000e+02,1.120283768248863387e-01,1.343542164610890544e-01,9.090409203624341683e-02
1.070304302203567703e-01,1.010000000000000000e+02,1.132027750808279470e-01,1.370044564053987390e-01,9.269724495813499998e-02
1.080797481636936036e-01,1.020000000000000000e+02,1.143785541698399688e-01,1.356728653490622827e-01,9.406528415217552119e-02
1.091290661070304369e-01,1.030000000000000000e+02,1.155557173428548023e-01,1.383491166538447503e-01,9.545351306423069393e-02
1.101783840503672701e-01,1.040000000000000000e+02,1.167342678622990682e-01,1.376751448930674526e-01,9.545351306423069393e-02
1.112277019937040895e-01,1.050000000000000000e+02,1.179142090021477601e-01,1.410781590677995800e-01,9.639036247745129404e-02
1.122770199370409228e-01,1.060000000000000000e+02,1.190955440479787714e-01,1.438610339360358592e-01,9.877291141228704274e-02
1.133263378803777560e-01,1.070000000000000000e+02,1.202782762970282249e-01,1.438610339360358592e-01,9.925644206753608811e-02
1.143756558237145893e-01,1.080000000000000000e+02,1.214624090582449717e-01,1.474169491163410117e-01,9.925644206753608811e-02
1.154249737670514225e-01,1.090000000000000000e+02,1.226479456523466433e-01,1.459841556427121101e-01,1.007212828302873064e-01
1.164742917103882558e-01,1.100000000000000000e+02,1.238348894118753984e-01,1.459841556427121101e-01,1.012143514984888276e-01
1.175236096537250752e-01,1.110000000000000000e+02,1.250232436812540870e-01,1.495925495276381467e-01,1.032108821943184124e-01
1.185729275970619084e-01,1.120000000000000000e+02,1.262130118168428572e-01,1.510607583734753789e-01,1.037161383904017659e-01
1.196222455403987417e-01,1.130000000000000000e+02,1.274041971869959988e-01,1.525433772766436602e-01,1.057620187510779630e-01
1.206715634837355750e-01,1.140000000000000000e+02,1.285968031721190230e-01,1.525433772766436602e-01,1.057620187510779630e-01
1.217208814270724082e-01,1.150000000000000000e+02,1.297908331647267544e-01,1.547946342476574366e-01,1.073228697446288321e-01
1.227701993704092415e-01,1.160000000000000000e+02,1.309862905695004798e-01,1.563139000935044876e-01,1.089067560002977830e-01
1.238195173137460747e-01,1.170000000000000000e+02,1.321831788033466515e-01,1.555524123657324176e-01,1.099756452132696627e-01
1.248688352570828941e-01,1.180000000000000000e+02,1.333815012954553958e-01,1.578480771067934663e-01,1.110550252735643534e-01
1.259181532004197412e-01,1.190000000000000000e+02,1.345812614873594659e-01,1.586208029793220731e-01,1.115986815085727862e-01
1.269674711437565606e-01,1.200000000000000000e+02,1.357824628329934724e-01,1.617497199506476857e-01,1.132456708055679107e-01
1.280167890870933800e-01,1.210000000000000000e+02,1.369851087987538907e-01,1.617497199506476857e-01,1.126939912141165373e-01
1.290661070304302271e-01,1.220000000000000000e+02,1.381892028635584857e-01,1.609617514677470496e-01,1.149169666060784328e-01
1.301154249737670465e-01,1.230000000000000000e+02,1.393947485189071245e-01,1.649403572085283431e-01,1.160448443475875502e-01
1.311647429171038937e-01,1.240000000000000000e+02,1.406017492689424220e-01,1.665592004748125965e-01,1.177574507514298763e-01
1.322140608604407130e-01,1.250000000000000000e+02,1.418102086305108311e-01,1.673745705817762108e-01,1.183339178870862762e-01
1.332633788037775602e-01,1.260000000000000000e+02,1.430201301332240937e-01,1.690173049684305373e-01,1.200803067654939299e-01
1.343126967471143796e-01,1.270000000000000000e+02,1.442315173195211908e-01,1.706761623315665999e-01,1.200803067654939299e-01
1.353620146904511989e-01,1.280000000000000000e+02,1.454443737447303764e-01,1.698447084240063965e-01,1.218524691006507843e-01
1.364113326337880461e-01,1.290000000000000000e+02,1.466587029771322659e-01,1.731950255368697456e-01,1.224489828956326631e-01
1.374606505771248655e-01,1.300000000000000000e+02,1.478745085980222029e-01,1.740428805103265975e-01,1.218524691006507843e-01
1.385099685204617126e-01,1.310000000000000000e+02,1.490917942017739029e-01,1.766114302238522560e-01,1.242561024917682028e-01
1.395592864637985320e-01,1.320000000000000000e+02,1.503105633959033460e-01,1.757510624854791148e-01,1.260898918172679850e-01
