# Fraction frozen, Temperatures, k, k_upper, k_lower
2.325581395348837177e-03,0.000000000000000000e+00,2.328289759591184536e-03,8.469370667382973908e-03,1.598090760410223973e-04
4.651162790697674354e-03,1.000000000000000000e+00,4.662013105811301135e-03,1.295283836092117613e-02,6.061680436370898463e-04
6.976744186046511531e-03,2.000000000000000000e+00,7.001195458983588103e-03,1.694383074902505379e-02,1.503387130888843076e-03
9.302325581395348708e-03,3.000000000000000000e+00,9.345862418237657968e-03,2.059897157058424716e-02,2.510498140086855207e-03
1.162790697674418589e-02,4.000000000000000000e+00,1.169603976319129844e-02,2.431948544034412060e-02,3.820787296392094863e-03
1.395348837209302306e-02,5.000000000000000000e+00,1.405175345565030237e-02,2.721033530881367818e-02,5.146649703263457554e-03
1.627906976744186024e-02,6.000000000000000000e+00,1.641302964133014436e-02,3.029650679795539703e-02,6.538019001973804749e-03
1.860465116279069742e-02,7.000000000000000000e+00,1.877989465159624408e-02,3.356837917428350665e-02,7.871154106336149953e-03
2.093023255813953459e-02,8.000000000000000000e+00,2.115237500522668124e-02,3.683210080784152241e-02,9.710350224722380866e-03
2.325581395348837177e-02,9.000000000000000000e+00,2.353049741019416080e-02,4.002035275563699257e-02,1.135277526492183345e-02
2.558139534883720895e-02,1.000000000000000000e+01,2.591428876547035437e-02,4.391137443389719897e-02,1.282694549460055254e-02
2.790697674418604612e-02,1.100000000000000000e+01,2.830377616285182155e-02,4.656152659089197315e-02,1.470642128649249022e-02
3.023255813953488330e-02,1.200000000000000000e+01,3.069898688880662307e-02,4.937162150863531190e-02,1.613626885392328153e-02
3.255813953488372048e-02,1.300000000000000000e+01,3.309994842634483847e-02,5.235131209956415954e-02,1.841051877940736575e-02
3.488372093023255766e-02,1.400000000000000000e+01,3.550668845690976155e-02,5.497130592793356141e-02,1.980973890424772565e-02
3.720930232558139483e-02,1.500000000000000000e+01,3.791923486229372559e-02,5.914918697869206432e-02,2.184216674822177587e-02
3.953488372093023201e-02,1.600000000000000000e+01,4.033761572657540428e-02,6.120610146243484623e-02,2.304756508221526834e-02
4.186046511627906919e-02,1.700000000000000000e+01,4.276185933808170081e-02,6.426924547275403299e-02,2.566159895734473201e-02
4.418604651162790636e-02,1.800000000000000000e+01,4.519199419137353430e-02,6.814804183733708109e-02,2.694586917327488132e-02
4.651162790697674354e-02,1.900000000000000000e+01,4.762804898925458719e-02,7.121000502342103577e-02,2.942167995572982434e-02
4.883720930232558072e-02,2.000000000000000000e+01,5.007005264480638568e-02,7.477380822523355119e-02,3.074362697677879980e-02
5.116279069767441789e-02,2.100000000000000000e+01,5.251803428344636177e-02,7.699713927326645724e-02,3.324211713393117329e-02
5.348837209302325507e-02,2.200000000000000000e+01,5.497202324501312271e-02,7.928657904394528777e-02,3.490576486767264786e-02
5.581395348837209225e-02,2.300000000000000000e+01,5.743204908587552088e-02,8.284900842031049650e-02,3.665267215347069174e-02
5.813953488372092943e-02,2.400000000000000000e+01,5.989814158106895881e-02,8.489684610543368759e-02,3.811293805156585474e-02
6.046511627906976660e-02,2.500000000000000000e+01,6.237033072645808279e-02,8.914562620136017024e-02,4.061097884332459662e-02
6.279069767441861072e-02,2.600000000000000000e+01,6.484864674092510883e-02,9.134910185278746764e-02,4.243567283036392412e-02
6.511627906976744096e-02,2.700000000000000000e+01,6.733312006858707677e-02,9.498850848864488772e-02,4.521703913732649793e-02
6.744186046511627119e-02,2.800000000000000000e+01,6.982378138103888243e-02,9.877291141228704274e-02,4.678946282502715465e-02
6.976744186046511531e-02,2.900000000000000000e+01,7.232066157962613318e-02,1.002306161604975820e-01,4.818070486403512598e-02
