# Fraction frozen, Temperatures, k, k_upper, k_lower
7.692307692307692735e-03,0.000000000000000000e+00,7.722046093910277763e-03,2.857211417772472992e-02,2.913840573594973608e-04
1.538461538461538547e-02,1.000000000000000000e+00,1.550418653596519897e-02,4.243567283036392412e-02,1.947492484226041312e-03
2.307692307692307820e-02,2.000000000000000000e+00,2.334736399699117657e-02,5.688293449172353300e-02,4.925348610560550434e-03
3.076923076923077094e-02,3.000000000000000000e+00,3.125254350410442555e-02,6.915378038191513643e-02,8.184745919560761085e-03
3.846153846153846367e-02,4.000000000000000000e+00,3.922071315328126695e-02,8.045670171309791951e-02,1.264039671271362415e-02
4.615384615384615641e-02,5.000000000000000000e+00,4.725288485054561505e-02,9.224566762309521772e-02,1.711012968748580956e-02
5.384615384615384914e-02,6.000000000000000000e+00,5.535009508316495602e-02,1.037161383904017659e-01,2.238205507090190380e-02
6.153846153846154188e-02,7.000000000000000000e+00,6.351340572232586079e-02,1.143571452483426593e-01,2.761190932756964200e-02
6.923076923076923461e-02,8.000000000000000000e+00,7.174390485884130086e-02,1.236507852609162600e-01,3.291902614090352897e-02
7.692307692307692735e-02,9.000000000000000000e+00,8.004270767353637017e-02,1.356728653490622827e-01,3.867541424034717790e-02
8.461538461538462008e-02,1.000000000000000000e+01,8.841095734405307605e-02,1.474169491163410117e-01,4.306194455703326457e-02
9.230769230769231282e-02,1.100000000000000000e+01,9.684982598991766223e-02,1.601776215963148509e-01,5.010025495753291092e-02
1.000000000000000056e-01,1.200000000000000000e+01,1.053605156578262814e-01,1.731950255368697456e-01,5.688293449172353300e-02
1.076923076923076983e-01,1.300000000000000000e+01,1.139442593492178413e-01,1.792178869612765235e-01,6.241343874744067349e-02
1.153846153846153910e-01,1.400000000000000000e+01,1.226023220923323914e-01,1.900340974722329879e-01,6.881689572189211845e-02
1.230769230769230838e-01,1.500000000000000000e+01,1.313360020610869761e-01,2.015030910943006459e-01,7.404705716257975467e-02
