# Fraction frozen, Temperatures, k, k_upper, k_lower
7.142857142857142634e-03,0.000000000000000000e+00,7.168489478612516050e-03,2.694586917327488132e-02,3.015169453758688336e-04
1.428571428571428527e-02,1.000000000000000000e+00,1.438873745209955611e-02,3.924619153313993469e-02,1.690328789843110026e-03
2.142857142857142877e-02,2.000000000000000000e+00,2.166149678117941860e-02,5.235131209956415954e-02,4.316920687112804286e-03
2.857142857142857054e-02,3.000000000000000000e+00,2.898753687325229811e-02,6.364459168619560070e-02,8.144873690866138993e-03
3.571428571428571230e-02,4.000000000000000000e+00,3.636764417087483270e-02,7.477380822523355119e-02,1.209687155246267666e-02
4.285714285714285754e-02,5.000000000000000000e+00,4.380262265839288821e-02,8.448326864113160639e-02,1.567032599057862838e-02
4.999999999999999584e-02,6.000000000000000000e+00,5.129329438755057813e-02,9.545351306423069393e-02,2.090297413806306223e-02
5.714285714285714107e-02,7.000000000000000000e+00,5.884050002293346460e-02,1.068000432514575465e-01,2.591346034152777061e-02
6.428571428571427937e-02,8.000000000000000000e+00,6.644509940815274129e-02,1.149169666060784328e-01,3.029650679795539703e-02
7.142857142857142461e-02,9.000000000000000000e+00,7.410797215372184887e-02,1.273274286807102862e-01,3.490576486767264786e-02
7.857142857142856984e-02,1.000000000000000000e+01,8.183001824763212750e-02,1.376751448930674526e-01,4.141206154205229195e-02
8.571428571428571508e-02,1.100000000000000000e+01,8.961215868968716580e-02,1.474169491163410117e-01,4.521703913732649793e-02
9.285714285714286031e-02,1.200000000000000000e+01,9.745533615071302891e-02,1.578480771067934663e-01,5.209628115431406969e-02
9.999999999999999167e-02,1.300000000000000000e+01,1.053605156578262814e-01,1.665592004748125965e-01,5.688293449172353300e-02
1.071428571428571369e-01,1.400000000000000000e+01,1.133286853070031158e-01,1.766114302238522560e-01,6.364459168619560070e-02
1.142857142857142821e-01,1.500000000000000000e+01,1.213608570042674778e-01,1.881870940153218541e-01,7.051789172799448335e-02
1.214285714285714274e-01,1.600000000000000000e+01,1.294580672368868257e-01,1.966425380520914201e-01,7.624877893003506601e-02
1.285714285714285587e-01,1.700000000000000000e+01,1.376213778760477235e-01,2.085103662194873753e-01,8.244540705707657791e-02
1.357142857142857040e-01,1.800000000000000000e+01,1.458518770125631636e-01,2.189455559164930620e-01,8.784913609111438815e-02
1.428571428571428492e-01,1.900000000000000000e+01,1.541506798272582190e-01,2.276684868805883832e-01,9.315103293454989053e-02
1.499999999999999944e-01,2.000000000000000000e+01,1.625189294977749388e-01,2.378978714184995513e-01,1.012143514984888276e-01
1.571428571428571397e-01,2.100000000000000000e+01,1.709577981436395389e-01,2.522555535728872034e-01,1.083762135589916298e-01
1.642857142857142849e-01,2.200000000000000000e+01,1.794684878115481441e-01,2.623055761454631818e-01,1.138000510766946638e-01
1.714285714285714302e-01,2.300000000000000000e+01,1.880522315029397318e-01,2.701049934194859059e-01,1.200803067654939299e-01
1.785714285714285754e-01,2.400000000000000000e+01,1.967102942460542681e-01,2.808661490903240909e-01,1.279507444678106842e-01
1.857142857142857206e-01,2.500000000000000000e+01,2.054439742148088388e-01,2.934857605354259102e-01,1.363370351962779614e-01
1.928571428571428381e-01,2.600000000000000000e+01,2.142546038969637134e-01,3.036917353332714287e-01,1.417687898664670987e-01
1.999999999999999833e-01,2.700000000000000000e+01,2.231435513142097093e-01,3.142526231646631252e-01,1.510607583734753789e-01
2.071428571428571286e-01,2.800000000000000000e+01,2.321122212969700671e-01,3.251807661393825155e-01,1.547946342476574366e-01
2.142857142857142738e-01,2.900000000000000000e+01,2.411620568168880985e-01,3.348497198912503414e-01,1.641368454430775226e-01
2.214285714285714191e-01,3.000000000000000000e+01,2.502945403801605795e-01,3.431264378426282513e-01,1.698447084240063965e-01
2.285714285714285643e-01,3.100000000000000000e+01,2.595111954850845559e-01,3.550586684582041075e-01,1.783448217928134683e-01
2.357142857142857095e-01,3.200000000000000000e+01,2.688135881473981970e-01,3.692044328707313472e-01,1.872703350928459909e-01
2.428571428571428548e-01,3.300000000000000000e+01,2.782033284972371678e-01,3.764872734200162552e-01,1.956845881871399073e-01
2.500000000000000000e-01,3.400000000000000000e+01,2.876820724517809014e-01,3.934032425390230903e-01,2.034807873214346252e-01
2.571428571428571175e-01,3.500000000000000000e+01,2.972515234679315999e-01,4.070838503184913137e-01,2.095311031053678774e-01
2.642857142857142905e-01,3.600000000000000000e+01,3.069134343796684483e-01,4.130916519823717437e-01,2.157613195156311836e-01
2.714285714285714080e-01,3.700000000000000000e+01,3.166696093250331301e-01,4.233023312466023258e-01,2.221767857334097096e-01
2.785714285714285809e-01,3.800000000000000000e+01,3.265219057680448511e-01,4.380226805974206106e-01,2.344380018692532042e-01
2.857142857142856984e-01,3.900000000000000000e+01,3.364722366212128946e-01,4.532549304718481165e-01,2.390624712263273444e-01
2.928571428571428714e-01,4.000000000000000000e+01,3.465225724747144631e-01,4.621957315373631525e-01,2.449715478346112252e-01
2.999999999999999889e-01,4.100000000000000000e+01,3.566749439387324472e-01,4.736201511531480945e-01,2.572314878000531158e-01
3.071428571428571064e-01,4.200000000000000000e+01,3.669314441059214893e-01,4.829626718129260698e-01,2.648800316810180355e-01
3.142857142857142794e-01,4.300000000000000000e+01,3.772942311414680394e-01,4.973231267472008055e-01,2.754330215348159694e-01
3.214285714285713969e-01,4.400000000000000000e+01,3.877655310087634311e-01,5.096158150974283707e-01,2.850112118741031653e-01
3.285714285714285698e-01,4.500000000000000000e+01,3.983476403393003129e-01,5.273377180476058745e-01,2.892174480870656206e-01
3.357142857142856873e-01,4.600000000000000000e+01,4.090429294560482543e-01,5.325133895955933561e-01,3.022122921785439509e-01
3.428571428571428603e-01,4.700000000000000000e+01,4.198538455602640052e-01,5.537290635810950823e-01,3.066723843938824468e-01
3.499999999999999778e-01,4.800000000000000000e+01,4.307829160924542267e-01,5.619010762682079552e-01,3.173369243722755084e-01
3.571428571428571508e-01,4.900000000000000000e+01,4.418327522790393425e-01,5.674159774666129863e-01,3.299798303772435437e-01
3.642857142857142683e-01,5.000000000000000000e+01,4.530060528771645001e-01,5.929105740442465189e-01,3.364889355643932434e-01
3.714285714285714413e-01,5.100000000000000000e+01,4.643056081310978356e-01,6.016608330645656366e-01,3.448061711718483080e-01
3.785714285714285587e-01,5.200000000000000000e+01,4.757343039547205499e-01,6.135290543583579170e-01,3.533289897891396247e-01
3.857142857142856762e-01,5.300000000000000000e+01,4.872951263557965262e-01,6.317717816956668342e-01,3.692044328707313472e-01
3.928571428571428492e-01,5.400000000000000000e+01,4.989911661189877501e-01,6.410955599745021827e-01,3.820435264276287324e-01
3.999999999999999667e-01,5.500000000000000000e+01,5.108256237659904997e-01,6.537416614956702565e-01,3.839137735837152010e-01
4.071428571428571397e-01,5.600000000000000000e+01,5.228018148127063780e-01,6.666372170665443297e-01,3.934032425390230903e-01
4.142857142857142572e-01,5.700000000000000000e+01,5.349231753450511828e-01,6.797871473595380465e-01,4.070838503184913137e-01
4.214285714285714302e-01,5.800000000000000000e+01,5.471932679368656238e-01,6.965899282831542472e-01,4.151138914233780675e-01
4.285714285714285476e-01,5.900000000000000000e+01,5.596157879354227704e-01,7.138080354568521191e-01,4.171460304891701498e-01
4.357142857142857206e-01,6.000000000000000000e+01,5.721945701422828101e-01,7.208138607816875210e-01,4.401669668266596225e-01
4.428571428571428381e-01,6.100000000000000000e+01,5.849335959197125012e-01,7.422466040719712943e-01,4.466630138538691397e-01
4.500000000000000111e-01,6.200000000000000000e+01,5.978370007556204069e-01,7.532007855740493474e-01,4.554737843093249472e-01
4.571428571428571286e-01,6.300000000000000000e+01,6.109090823229731404e-01,7.718181834472723768e-01,4.713128967598220753e-01
4.642857142857142461e-01,6.400000000000000000e+01,6.241543090729936294e-01,7.908957607443733995e-01,4.806099050574580422e-01
4.714285714285714191e-01,6.500000000000000000e+01,6.375773294051345630e-01,8.064967860945304601e-01,4.949004026162783232e-01
4.785714285714285365e-01,6.600000000000000000e+01,6.511829814609131351e-01,8.224055536327939953e-01,5.022042135141240315e-01
4.857142857142857095e-01,6.700000000000000000e+01,6.649763035932491073e-01,8.386281338098069416e-01,5.171367981565371252e-01
4.928571428571428270e-01,6.800000000000000000e+01,6.789625455679889621e-01,8.593571000215405320e-01,5.222123505417251010e-01
5.000000000000000000e-01,6.900000000000000000e+01,6.931471805599452862e-01,8.805984387889811416e-01,5.377398589057275080e-01
5.071428571428571175e-01,7.000000000000000000e+01,7.075359180120448510e-01,8.720396149661594487e-01,5.483471899687771822e-01
5.142857142857142350e-01,7.100000000000000000e+01,7.221347174331974594e-01,9.023648147878836623e-01,5.591637587708887525e-01
5.214285714285714635e-01,7.200000000000000000e+01,7.369498032183383618e-01,9.156820437358480502e-01,5.757899835856703508e-01
5.285714285714285809e-01,7.300000000000000000e+01,7.519876805828787925e-01,9.383156060742138260e-01,5.871478825353771969e-01
5.357142857142856984e-01,7.400000000000000000e+01,7.672551527136671767e-01,9.521634019398755866e-01,5.987298247512568006e-01
5.428571428571428159e-01,7.500000000000000000e+01,7.827593392496323688e-01,9.804751130133138037e-01,6.105402296585326072e-01
5.499999999999999334e-01,7.600000000000000000e+01,7.985076962177715121e-01,9.852749084944029123e-01,6.256313854178821021e-01
5.571428571428571619e-01,7.700000000000000000e+01,8.145080375642127501e-01,1.004710211586466118e+00,6.410955599745021827e-01
5.642857142857142794e-01,7.800000000000000000e+01,8.307685584359930653e-01,1.029544346274920308e+00,6.505569399061988944e-01
5.714285714285713969e-01,7.900000000000000000e+01,8.472978603872035608e-01,1.049852897973602817e+00,6.699006576776660449e-01
5.785714285714285143e-01,8.000000000000000000e+01,8.641049787035847141e-01,1.081069317189551793e+00,6.864590672258100712e-01
5.857142857142857428e-01,8.100000000000000000e+01,8.811994120628849902e-01,1.086361559240902164e+00,7.034267627234775944e-01
5.928571428571428603e-01,8.200000000000000000e+01,8.985911547747541528e-01,1.118663530230183500e+00,7.103306987730362287e-01
5.999999999999999778e-01,8.300000000000000000e+01,9.162907318741549956e-01,1.140730026170168721e+00,7.314517347940421299e-01
6.071428571428570953e-01,8.400000000000000000e+01,9.343092373768332459e-01,1.157565082986846017e+00,7.458801811498527723e-01
6.142857142857142128e-01,8.500000000000000000e+01,9.526583760450296756e-01,1.174648593978938615e+00,7.532007855740493474e-01
6.214285714285714413e-01,8.600000000000000000e+01,9.713505090571824541e-01,1.197819438231463085e+00,7.605932396739571999e-01
6.285714285714285587e-01,8.700000000000000000e+01,9.903987040278768861e-01,1.227426790598789008e+00,7.870428889563021446e-01
6.357142857142856762e-01,8.800000000000000000e+01,1.009816789884978361e+00,1.251638725250669104e+00,8.025679134560049777e-01
6.428571428571427937e-01,8.900000000000000000e+01,1.029619417181158125e+00,1.276328258879595889e+00,8.224055536327939953e-01
6.500000000000000222e-01,9.000000000000000000e+01,1.049822124498677844e+00,1.288855062158209996e+00,8.386281338098069416e-01
6.571428571428571397e-01,9.100000000000000000e+01,1.070441411701413381e+00,1.307876169433472180e+00,8.468590333319788721e-01
6.642857142857142572e-01,9.200000000000000000e+01,1.091494820899245655e+00,1.333675029772531273e+00,8.720396149661594487e-01
6.714285714285713746e-01,9.300000000000000000e+01,1.113001026120209236e+00,1.359982792414690334e+00,8.935944364480086222e-01
6.785714285714286031e-01,9.400000000000000000e+01,1.134979932838984684e+00,1.386809495848108309e+00,9.112212719271415295e-01
6.857142857142857206e-01,9.500000000000000000e+01,1.157452788691043066e+00,1.421088249472737708e+00,9.291958102525931240e-01
6.928571428571428381e-01,9.600000000000000000e+01,1.180442306915741923e+00,1.421088249472737708e+00,9.521634019398755866e-01
6.999999999999999556e-01,9.700000000000000000e+01,1.203972804325935897e+00,1.463343013567807827e+00,9.615086182211994847e-01
7.071428571428570731e-01,9.800000000000000000e+01,1.228070355904996358e+00,1.506854184567513633e+00,9.900982007846965693e-01
7.142857142857143016e-01,9.900000000000000000e+01,1.252762968495368057e+00,1.536578038834101712e+00,1.014571160041534137e+00
7.214285714285714191e-01,1.000000000000000000e+02,1.278080776479657787e+00,1.559255077216163077e+00,1.024528890935269443e+00
7.285714285714285365e-01,1.010000000000000000e+02,1.304056262882918427e+00,1.590012579271952831e+00,1.054992323879084593e+00
7.357142857142856540e-01,1.020000000000000000e+02,1.330724509965079516e+00,1.629314047590489700e+00,1.081069317189551793e+00
7.428571428571428825e-01,1.030000000000000000e+02,1.358123484153194394e+00,1.653359697248268034e+00,1.091679708813151128e+00
7.500000000000000000e-01,1.040000000000000000e+02,1.386294361119890572e+00,1.702520841179651523e+00,1.124139810133665485e+00
7.571428571428571175e-01,1.050000000000000000e+02,1.415281897993142746e+00,1.727646887163612366e+00,1.146314329894029704e+00
7.642857142857142350e-01,1.060000000000000000e+02,1.445134861142823857e+00,1.779016892991027499e+00,1.180398941885188790e+00
7.714285714285713524e-01,1.070000000000000000e+02,1.475906519809577322e+00,1.822990114945059581e+00,1.197819438231463085e+00
7.785714285714285809e-01,1.080000000000000000e+02,1.507655218124158036e+00,1.831914339129485869e+00,1.221447345154585307e+00
7.857142857142856984e-01,1.090000000000000000e+02,1.540445040947148847e+00,1.886384642624725050e+00,1.233435507683689147e+00
7.928571428571428159e-01,1.100000000000000000e+02,1.574346592622830165e+00,1.923595026205535907e+00,1.270110588505023452e+00
7.999999999999999334e-01,1.110000000000000000e+02,1.609437912434100060e+00,1.951983716619140496e+00,1.301504812491619090e+00
8.071428571428571619e-01,1.120000000000000000e+02,1.645805556604975406e+00,2.000232282194724931e+00,1.333675029772531273e+00
8.142857142857142794e-01,1.130000000000000000e+02,1.683545884587822172e+00,2.069790410754942300e+00,1.366640421124233118e+00
8.214285714285713969e-01,1.140000000000000000e+02,1.722766597741103300e+00,2.100336673555322164e+00,1.386809495848108309e+00
8.285714285714285143e-01,1.150000000000000000e+02,1.763588592261358334e+00,2.152252184356999276e+00,1.421088249472737708e+00
8.357142857142857428e-01,1.160000000000000000e+02,1.806148206680154855e+00,2.216247441764022330e+00,1.456214295356016875e+00
8.428571428571428603e-01,1.170000000000000000e+02,1.850599969250988464e+00,2.259964622001073398e+00,1.492208576621477434e+00
8.499999999999999778e-01,1.180000000000000000e+02,1.897119984885881072e+00,2.327162610585735703e+00,1.521643535040881456e+00
8.571428571428570953e-01,1.190000000000000000e+02,1.945910149055313010e+00,2.408089749642825961e+00,1.566888218918745190e+00
8.642857142857142128e-01,1.200000000000000000e+02,1.997203443442863380e+00,2.455591166510040058e+00,1.605618106026132752e+00
8.714285714285714413e-01,1.210000000000000000e+02,2.051270664713139791e+00,2.540984411870536697e+00,1.645305307214534052e+00
8.785714285714285587e-01,1.220000000000000000e+02,2.108429078553088143e+00,2.578484623106100493e+00,1.702520841179651523e+00
8.857142857142856762e-01,1.230000000000000000e+02,2.169053700369522719e+00,2.668151491549881182e+00,1.753143746926481672e+00
8.928571428571427937e-01,1.240000000000000000e+02,2.233592221507093800e+00,2.747486544729856650e+00,1.805271878644280514e+00
9.000000000000000222e-01,1.250000000000000000e+02,2.302585092994045901e+00,2.856948165698310671e+00,1.868050254205294136e+00
