# Fraction frozen, Temperatures, k, k_upper, k_lower
2.824858757062146883e-03,0.000000000000000000e+00,2.828856200477713675e-03,1.044834775844081035e-02,1.796808530286266720e-04
5.649717514124293766e-03,1.000000000000000000e+00,5.665737535677307750e-03,1.597943518695886522e-02,6.848796241326050816e-04
8.474576271186440649e-03,2.000000000000000000e+00,8.510689667908619138e-03,2.049862307920669036e-02,1.854672817613839831e-03
1.129943502824858753e-02,3.000000000000000000e+00,1.136375865031509502e-02,2.516519616596129064e-02,3.158201066868833624e-03
1.412429378531073441e-02,4.000000000000000000e+00,1.422499093134732551e-02,2.871198545308421141e-02,4.713563256533319368e-03
1.694915254237288130e-02,5.000000000000000000e+00,1.709443335930006802e-02,3.308017718983466415e-02,6.349230421295145449e-03
1.977401129943502645e-02,6.000000000000000000e+00,1.997213318691524325e-02,3.701240783315003918e-02,8.184745919560761085e-03
2.259887005649717506e-02,7.000000000000000000e+00,2.285813807605020787e-02,4.121032147525625217e-02,9.569127670461122573e-03
2.542372881355932368e-02,8.000000000000000000e+00,2.575249610241473960e-02,4.610897990734218188e-02,1.174756831392023519e-02
2.824858757062146883e-02,9.000000000000000000e+00,2.865525576037606173e-02,4.841656758651805698e-02,1.380180777259079616e-02
3.107344632768361398e-02,1.000000000000000000e+01,3.156646596783452968e-02,5.260759151748056056e-02,1.567032599057862838e-02
3.389830508474576259e-02,1.100000000000000000e+01,3.448617607116932077e-02,5.605565709009653619e-02,1.841051877940736575e-02
3.672316384180791121e-02,1.200000000000000000e+01,3.741443585025771429e-02,6.002211913669776300e-02,1.980973890424772565e-02
3.954802259887005289e-02,1.300000000000000000e+01,4.035129552356734456e-02,6.271897607040088918e-02,2.184216674822177587e-02
4.237288135593220151e-02,1.400000000000000000e+01,4.329680575332418846e-02,6.848165220532556607e-02,2.431948544034412060e-02
4.519774011299435013e-02,1.500000000000000000e+01,4.625101765075569776e-02,7.086310340502699479e-02,2.668397347047983190e-02
4.802259887005649874e-02,1.600000000000000000e+01,4.921398278141266708e-02,7.440954543549932465e-02,2.829441246861314277e-02
5.084745762711864736e-02,1.700000000000000000e+01,5.218575317057019131e-02,7.967471675264914399e-02,3.044481962557492663e-02
5.367231638418078904e-02,1.800000000000000000e+01,5.516638130870802487e-02,8.204377184966649139e-02,3.308017718983466415e-02
5.649717514124293766e-02,1.900000000000000000e+01,5.815592015707406887e-02,8.699530164663711596e-02,3.542090913607574831e-02
5.932203389830508627e-02,2.000000000000000000e+01,6.115442315333057682e-02,8.914562620136017024e-02,3.774250595926954138e-02
6.214689265536722795e-02,2.100000000000000000e+01,6.416194421728589614e-02,9.452576919642451114e-02,4.002035275563699257e-02
6.497175141242937657e-02,2.200000000000000000e+01,6.717853775671156491e-02,9.639036247745129404e-02,4.181850929143807877e-02
6.779661016949152519e-02,2.300000000000000000e+01,7.020425867324857350e-02,1.012143514984888276e-01,4.434235223713870605e-02
7.062146892655367381e-02,2.400000000000000000e+01,7.323916236840251337e-02,1.032108821943184124e-01,4.771242085803830552e-02
7.344632768361582242e-02,2.500000000000000000e+01,7.628330474963070096e-02,1.073228697446288321e-01,4.985619010286809066e-02
7.627118644067797104e-02,2.600000000000000000e+01,7.933674223652108226e-02,1.115986815085727862e-01,5.209628115431406969e-02
7.909604519774010578e-02,2.700000000000000000e+01,8.239953176706674154e-02,1.166129276289585986e-01,5.578258032007945427e-02
8.192090395480225440e-02,2.800000000000000000e+01,8.547173080403693002e-02,1.189132070467962266e-01,5.660582761569268873e-02
8.474576271186440302e-02,2.900000000000000000e+01,8.855339734144505870e-02,1.230484168506261883e-01,6.031595004823646355e-02
8.757062146892655163e-02,3.000000000000000000e+01,9.164458991111794350e-02,1.267071493946638483e-01,6.180682215253682082e-02
9.039548022598870025e-02,3.100000000000000000e+01,9.474536758936620562e-02,1.298390598478167957e-01,6.426924547275403299e-02
