# Fraction frozen, Temperatures, k, k_upper, k_lower
2.283105022831050102e-03,0.000000000000000000e+00,2.285715280855951138e-03,8.678714107366652594e-03,1.514509873088840846e-04
4.566210045662100203e-03,1.000000000000000000e+00,4.576667027411754698e-03,1.257881865110078122e-02,5.417682194772188231e-04
6.849315068493150305e-03,2.000000000000000000e+00,6.872879287762064318e-03,1.661606610370713888e-02,1.383618647646977584e-03
9.132420091324200406e-03,3.000000000000000000e+00,9.174376276041269415e-03,1.980973890424772565e-02,2.461934592407169151e-03
1.141552511415525051e-02,4.000000000000000000e+00,1.148118237395625435e-02,2.338770434281476143e-02,3.728624247099608831e-03
1.369863013698630061e-02,5.000000000000000000e+00,1.379332213233587338e-02,2.668397347047983190e-02,5.121577648981443659e-03
1.598173515981735071e-02,6.000000000000000000e+00,1.611082027269836875e-02,2.985588931494147918e-02,6.634508021147156841e-03
1.826484018264840081e-02,7.000000000000000000e+00,1.843370168883802160e-02,3.324211713393117329e-02,7.987317723978334602e-03
2.054794520547945091e-02,8.000000000000000000e+00,2.076199144842912764e-02,3.719359752935334079e-02,9.615972159567517594e-03
2.283105022831050102e-02,9.000000000000000000e+00,2.309571479464928023e-02,3.943831644306425299e-02,1.124243393439871772e-02
2.511415525114155112e-02,1.000000000000000000e+01,2.543489714782160363e-02,4.202322666698272285e-02,1.270227622216327582e-02
2.739726027397260122e-02,1.100000000000000000e+01,2.777956410707570559e-02,4.543839359828018981e-02,1.456348477501244465e-02
2.968036529680365132e-02,1.200000000000000000e+01,3.012974145202926973e-02,4.841656758651805698e-02,1.605766054911518179e-02
3.196347031963470142e-02,1.300000000000000000e+01,3.248545514448842458e-02,5.260759151748056056e-02,1.753305289489006519e-02
3.424657534246575152e-02,1.400000000000000000e+01,3.484673133016819024e-02,5.390793065837313353e-02,1.942653559314496195e-02
3.652968036529680163e-02,1.500000000000000000e+01,3.721359634043432119e-02,5.716139791042813140e-02,2.110813095657253224e-02
3.881278538812785173e-02,1.600000000000000000e+01,3.958607669406467855e-02,6.031595004823646355e-02,2.304756508221526834e-02
4.109589041095890183e-02,1.700000000000000000e+01,4.196419909903208179e-02,6.241343874744067349e-02,2.541218549621043418e-02
4.337899543378995193e-02,1.800000000000000000e+01,4.434799045430842801e-02,6.650421012103821528e-02,2.668397347047983190e-02
4.566210045662100203e-02,1.900000000000000000e+01,4.673747785168981539e-02,6.949231421941075293e-02,2.857211417772472992e-02
4.794520547945205213e-02,2.000000000000000000e+01,4.913268857764464814e-02,7.226093245846895718e-02,3.014891648060546991e-02
5.022831050228310223e-02,2.100000000000000000e+01,5.153365011518290517e-02,7.513985421871144377e-02,3.259907537475602995e-02
5.251141552511415234e-02,2.200000000000000000e+01,5.394039014574785601e-02,7.851596688787039480e-02,3.456650433898705854e-02
5.479452054794520244e-02,2.300000000000000000e+01,5.635293655113174371e-02,8.124636163623621954e-02,3.629643286234882776e-02
5.707762557077625254e-02,2.400000000000000000e+01,5.877131741541333915e-02,8.366214816166543666e-02,3.792726976116914117e-02
5.936073059360730264e-02,2.500000000000000000e+01,6.119556102691967731e-02,8.742117645995718667e-02,3.982539243882390195e-02
6.164383561643835274e-02,2.600000000000000000e+01,6.362569588021155242e-02,8.958202766440713505e-02,4.181850929143807877e-02
6.392694063926940284e-02,2.700000000000000000e+01,6.606175067809264001e-02,9.315103293454989053e-02,4.412633717367392405e-02
6.621004566210045295e-02,2.800000000000000000e+01,6.850375433364434830e-02,9.545351306423069393e-02,4.610897990734218188e-02
6.849315068493150305e-02,2.900000000000000000e+01,7.095173597228449092e-02,9.829173629074135221e-02,4.701851489299851972e-02
7.077625570776255315e-02,3.000000000000000000e+01,7.340572493385116859e-02,1.012143514984888276e-01,4.937162150863531190e-02
7.305936073059360325e-02,3.100000000000000000e+01,7.586575077471348350e-02,1.047340831498279751e-01,5.260759151748056056e-02
7.534246575342465335e-02,3.200000000000000000e+01,7.833184326990695612e-02,1.089067560002977830e-01,5.390793065837313353e-02
7.762557077625570345e-02,3.300000000000000000e+01,8.080403241529598990e-02,1.105140174757763827e-01,5.633007067389840528e-02
7.990867579908675356e-02,3.400000000000000000e+01,8.328234842976317553e-02,1.126939912141165373e-01,5.800499399316968313e-02
8.219178082191780366e-02,3.500000000000000000e+01,8.576682175742506020e-02,1.154795285005064814e-01,6.120610146243484623e-02
8.447488584474885376e-02,3.600000000000000000e+01,8.825748306987690750e-02,1.194953320454317375e-01,6.210938985846919946e-02
8.675799086757990386e-02,3.700000000000000000e+01,9.075436326846419988e-02,1.212588612400359311e-01,6.271897607040088918e-02
8.904109589041095396e-02,3.800000000000000000e+01,9.325749348658270155e-02,1.236507852609162600e-01,6.650421012103821528e-02
9.132420091324200406e-02,3.900000000000000000e+01,9.576690509200841417e-02,1.273274286807102862e-01,6.881689572189211845e-02
9.360730593607305416e-02,4.000000000000000000e+01,9.828262968925567666e-02,1.298390598478167957e-01,7.086310340502699479e-02
