# Fraction frozen, Temperatures, k, k_upper, k_lower
2.421307506053268881e-03,0.000000000000000000e+00,2.424243611506391501e-03,8.936767762649079280e-03,1.551945087483540373e-04
4.842615012106537761e-03,1.000000000000000000e+00,4.854378464798199400e-03,1.366766349529170352e-02,6.211511289744536379e-04
7.263922518159806642e-03,2.000000000000000000e+00,7.290433262679232342e-03,1.753305289489006519e-02,1.518142453204417456e-03
9.685230024213075523e-03,3.000000000000000000e+00,9.732436918231000475e-03,2.131530133161721116e-02,2.781619479921572033e-03
1.210653753026634527e-02,4.000000000000000000e+00,1.218041855687107197e-02,2.504260317815989317e-02,3.953655271941453227e-03
1.452784503631961328e-02,5.000000000000000000e+00,1.463440751843780863e-02,2.829441246861314277e-02,5.248171315180326542e-03
1.694915254237288130e-02,6.000000000000000000e+00,1.709443335930006802e-02,3.150353900349879555e-02,6.932603443566187108e-03
1.937046004842615105e-02,7.000000000000000000e+00,1.956052585449359615e-02,3.594365597724222261e-02,8.224813337853343481e-03
2.179176755447942079e-02,8.000000000000000000e+00,2.203271499988269239e-02,3.924619153313993469e-02,1.024623295642648757e-02
2.421307506053269054e-02,9.000000000000000000e+00,2.451103101434980516e-02,4.141206154205229195e-02,1.174756831392023519e-02
2.663438256658595682e-02,1.000000000000000000e+01,2.699550434201175228e-02,4.499676301109162280e-02,1.360108107355725154e-02
2.905569007263922657e-02,1.100000000000000000e+01,2.948616565446354060e-02,4.747998840690018790e-02,1.544242448226208590e-02
3.147699757869249632e-02,1.200000000000000000e+01,3.198304585305076359e-02,5.209628115431406969e-02,1.686128838286880469e-02
3.389830508474576259e-02,1.300000000000000000e+01,3.448617607116932077e-02,5.551083385151978078e-02,1.886558462603610611e-02
3.631961259079903581e-02,1.400000000000000000e+01,3.699558767659509584e-02,5.772242097151986107e-02,2.039876343843448001e-02
3.874092009685230209e-02,1.500000000000000000e+01,3.951131227384230282e-02,6.090793415229463215e-02,2.293528819606095726e-02
4.116222760290556837e-02,1.600000000000000000e+01,4.203338170655219336e-02,6.395615596714131212e-02,2.479920593916243657e-02
4.358353510895884159e-02,1.700000000000000000e+01,4.456182805991090040e-02,6.682977331277628608e-02,2.578722216295006517e-02
4.600484261501210786e-02,1.800000000000000000e+01,4.709668366309897880e-02,7.155860485607688781e-02,2.843292428936659497e-02
4.842615012106538108e-02,1.900000000000000000e+01,4.963798109177158802e-02,7.440954543549932465e-02,2.985588931494147918e-02
5.084745762711864736e-02,2.000000000000000000e+01,5.218575317057019131e-02,7.624877893003506601e-02,3.228223431459797954e-02
5.326876513317191364e-02,2.100000000000000000e+01,5.474003297566698567e-02,7.890033215942077183e-02,3.423054119417947433e-02
5.569007263922518686e-02,2.200000000000000000e+01,5.730085383734067478e-02,8.366214816166543666e-02,3.594365597724222261e-02
5.811138014527845314e-02,2.300000000000000000e+01,5.986824934258652003e-02,8.531244818741130775e-02,3.774250595926954138e-02
6.053268765133171941e-02,2.400000000000000000e+01,6.244225333775927506e-02,8.871135068078084274e-02,4.021626747673352764e-02
6.295399515738499263e-02,2.500000000000000000e+01,6.502289993125094647e-02,9.360704237426319130e-02,4.264341145420535301e-02
6.537530266343825891e-02,2.600000000000000000e+01,6.761022349620190997e-02,9.545351306423069393e-02,4.477755996643653646e-02
6.779661016949152519e-02,2.700000000000000000e+01,7.020425867324857350e-02,9.781290522784781560e-02,4.724868825723348847e-02
7.021791767554479147e-02,2.800000000000000000e+01,7.280504037330584599e-02,1.012143514984888276e-01,4.889176259482601317e-02
7.263922518159807162e-02,2.900000000000000000e+01,7.541260378038674994e-02,1.042238680061309403e-01,5.133861848284897167e-02
7.506053268765133790e-02,3.000000000000000000e+01,7.802698435445758196e-02,1.073228697446288321e-01,5.312392024820979802e-02
7.748184019370460418e-02,3.100000000000000000e+01,8.064821783433182012e-02,1.115986815085727862e-01,5.578258032007945427e-02
7.990314769975787046e-02,3.200000000000000000e+01,8.327634024060123763e-02,1.138000510766946638e-01,5.716139791042813140e-02
8.232445520581113674e-02,3.300000000000000000e+01,8.591138787860637394e-02,1.171837918922542243e-01,5.857429671280661027e-02
8.474576271186441689e-02,3.400000000000000000e+01,8.855339734144505870e-02,1.200803067654939299e-01,6.210938985846919946e-02
8.716707021791768317e-02,3.500000000000000000e+01,9.120240551302201404e-02,1.236507852609162600e-01,6.302600911379559190e-02
8.958837772397094945e-02,3.600000000000000000e+01,9.385844957113828602e-02,1.267071493946638483e-01,6.682977331277628608e-02
9.200968523002421573e-02,3.700000000000000000e+01,9.652156699062189316e-02,1.304746710167847823e-01,6.848165220532556607e-02
9.443099273607748201e-02,3.800000000000000000e+01,9.919179554650080222e-02,1.330483839523179668e-01,7.017436175972484314e-02
9.685230024213076216e-02,3.900000000000000000e+01,1.018691733172172320e-01,1.363370351962779614e-01,7.261467697729463711e-02
9.927360774818402844e-02,4.000000000000000000e+01,1.045537386878862413e-01,1.383491166538447503e-01,7.550769214538788354e-02
1.016949152542372947e-01,4.100000000000000000e+01,1.072455303535975596e-01,1.417687898664670987e-01,7.737406931079156280e-02
1.041162227602905610e-01,4.200000000000000000e+01,1.099445873227626047e-01,1.452729895666012017e-01,7.890033215942077183e-02
1.065375302663438273e-01,4.300000000000000000e+01,1.126509489205055753e-01,1.474169491163410117e-01,8.124636163623621954e-02
1.089588377723970936e-01,4.400000000000000000e+01,1.153646547921018534e-01,1.518002577608515147e-01,8.448326864113160639e-02
1.113801452784503737e-01,4.500000000000000000e+01,1.180857449064625364e-01,1.540405476678072538e-01,8.657150149490332181e-02
1.138014527845036400e-01,4.600000000000000000e+01,1.208142595596664731e-01,1.593973116364434395e-01,8.871135068078084274e-02
1.162227602905569063e-01,4.700000000000000000e+01,1.235502393785412462e-01,1.617497199506476857e-01,9.046125009801236905e-02
1.186440677966101725e-01,4.800000000000000000e+01,1.262937253242921165e-01,1.649403572085283431e-01,9.315103293454989053e-02
1.210653753026634388e-01,4.900000000000000000e+01,1.290447586961820381e-01,1.649403572085283431e-01,9.686222965704541221e-02
1.234866828087167190e-01,5.000000000000000000e+01,1.318033811352616602e-01,1.731950255368697456e-01,9.877291141228704274e-02
1.259079903147699853e-01,5.100000000000000000e+01,1.345696346281518019e-01,1.740428805103265975e-01,9.974233978771439302e-02
1.283292978208232515e-01,5.200000000000000000e+01,1.373435615108770658e-01,1.757510624854791148e-01,1.042238680061309403e-01
1.307506053268765178e-01,5.300000000000000000e+01,1.401252044727539225e-01,1.800952261130305820e-01,1.052467959890896337e-01
1.331719128329297841e-01,5.400000000000000000e+01,1.429146065603325300e-01,1.809768601708357239e-01,1.078482556706771012e-01
1.355932203389830504e-01,5.500000000000000000e+01,1.457118111813936467e-01,1.863580421882248539e-01,1.099756452132696627e-01
1.380145278450363167e-01,5.600000000000000000e+01,1.485168621090023067e-01,1.900340974722329879e-01,1.115986815085727862e-01
1.404358353510895829e-01,5.700000000000000000e+01,1.513298034856169760e-01,1.956845881871399073e-01,1.160448443475875502e-01
1.428571428571428770e-01,5.800000000000000000e+01,1.541506798272583578e-01,1.956845881871399073e-01,1.171837918922542243e-01
