# Fraction frozen, Temperatures, k, k_upper, k_lower
3.125000000000000173e-03,0.000000000000000000e+00,3.129893008927704407e-03,1.203794128953580497e-02,1.805604585738959439e-04
6.250000000000000347e-03,1.000000000000000000e+00,6.269613013595374228e-03,1.702677719119587846e-02,7.814067363324279794e-04
9.375000000000001388e-03,2.000000000000000000e+00,9.419221916491639715e-03,2.282355827003538715e-02,1.891257661129258465e-03
1.250000000000000069e-02,3.000000000000000000e+00,1.257878220686007263e-02,2.801940983310754335e-02,3.365199411707544500e-03
1.562500000000000000e-02,4.000000000000000000e+00,1.574835696813916761e-02,3.259907537475602995e-02,5.248171315180326542e-03
1.875000000000000278e-02,5.000000000000000000e+00,1.892800988551891078e-02,3.647411759102790751e-02,7.000644998661448987e-03
2.187500000000000208e-02,6.000000000000000000e+00,2.211780525361899119e-02,4.100956419108525014e-02,8.763893248060235577e-03
2.500000000000000139e-02,7.000000000000000000e+00,2.531780798428989732e-02,4.521703913732649793e-02,1.097124977456812207e-02
2.812500000000000069e-02,8.000000000000000000e+00,2.852808361453805161e-02,5.010025495753291092e-02,1.314399820132220072e-02
3.125000000000000000e-02,9.000000000000000000e+00,3.174869831458029812e-02,5.417183031124011422e-02,1.506993032900259127e-02
3.437500000000000278e-02,1.000000000000000000e+01,3.497971889602681517e-02,5.772242097151986107e-02,1.744764011584834171e-02
3.750000000000000555e-02,1.100000000000000000e+01,3.822121282019774052e-02,6.302600911379559190e-02,1.961720158213900098e-02
4.062500000000000139e-02,1.200000000000000000e+01,4.147324820657510153e-02,6.650421012103821528e-02,2.152450502568875601e-02
4.375000000000000416e-02,1.300000000000000000e+01,4.473589384139141367e-02,7.121000502342103577e-02,2.431948544034412060e-02
4.687500000000000000e-02,1.400000000000000000e+01,4.800921918636060631e-02,7.550769214538788354e-02,2.668397347047983190e-02
5.000000000000000278e-02,1.500000000000000000e+01,5.129329438755057813e-02,7.967471675264914399e-02,2.985588931494147918e-02
5.312500000000000555e-02,1.600000000000000000e+01,5.458819028440306531e-02,8.244540705707657791e-02,3.259907537475602995e-02
5.625000000000000139e-02,1.700000000000000000e+01,5.789397841890261964e-02,8.871135068078084274e-02,3.490576486767264786e-02
5.937500000000000416e-02,1.800000000000000000e+01,6.121073104489645200e-02,9.179629016022654298e-02,3.719359752935334079e-02
6.250000000000000000e-02,1.900000000000000000e+01,6.453852113757117814e-02,9.452576919642451114e-02,3.982539243882390195e-02
6.562500000000000278e-02,2.000000000000000000e+01,6.787742240308584918e-02,9.974233978771439302e-02,4.264341145420535301e-02
6.875000000000000555e-02,2.100000000000000000e+01,7.122750928836775464e-02,1.047340831498279751e-01,4.434235223713870605e-02
7.187500000000000833e-02,2.200000000000000000e+01,7.458885699107263567e-02,1.083762135589916298e-01,4.701851489299851972e-02
7.500000000000001110e-02,2.300000000000000000e+01,7.796154146971180643e-02,1.115986815085727862e-01,5.010025495753291092e-02
7.812500000000000000e-02,2.400000000000000000e+01,8.134563945395240081e-02,1.149169666060784328e-01,5.235131209956415954e-02
8.125000000000000278e-02,2.500000000000000000e+01,8.474122845509067525e-02,1.194953320454317375e-01,5.497130592793356141e-02
8.437500000000000555e-02,2.600000000000000000e+01,8.814838677670490397e-02,1.236507852609162600e-01,5.800499399316968313e-02
8.750000000000000833e-02,2.700000000000000000e+01,9.156719352549050339e-02,1.292065450772146018e-01,6.120610146243484623e-02
9.062500000000001110e-02,2.800000000000000000e+01,9.499772862227966186e-02,1.324002348656470596e-01,6.271897607040088918e-02
9.375000000000000000e-02,2.900000000000000000e+01,9.844007281325252434e-02,1.356728653490622827e-01,6.521774018603115897e-02
9.687500000000000278e-02,3.000000000000000000e+01,1.018943076813401266e-01,1.403908926972302351e-01,6.915378038191513643e-02
1.000000000000000056e-01,3.100000000000000000e+01,1.053605156578262814e-01,1.452729895666012017e-01,7.297015320896073354e-02
1.031250000000000083e-01,3.200000000000000000e+01,1.088387800341511502e-01,1.495925495276381467e-01,7.477380822523355119e-02
1.062500000000000111e-01,3.300000000000000000e+01,1.123291849739195963e-01,1.525433772766436602e-01,7.890033215942077183e-02
1.093750000000000000e-01,3.400000000000000000e+01,1.158318155251217008e-01,1.570791155909120329e-01,8.006475454182986062e-02
1.125000000000000028e-01,3.500000000000000000e+01,1.193467576325662471e-01,1.609617514677470496e-01,8.448326864113160639e-02
1.156250000000000056e-01,3.600000000000000000e+01,1.228740981505345858e-01,1.665592004748125965e-01,8.657150149490332181e-02
1.187500000000000083e-01,3.700000000000000000e+01,1.264139248556586659e-01,1.706761623315665999e-01,9.002056547721196123e-02
1.218750000000000111e-01,3.800000000000000000e+01,1.299663264600264267e-01,1.748948860536612415e-01,9.179629016022654298e-02
1.250000000000000000e-01,3.900000000000000000e+01,1.335313926245226268e-01,1.774760097868070818e-01,9.545351306423069393e-02
1.281250000000000167e-01,4.000000000000000000e+01,1.371092139724066628e-01,1.836477425475441794e-01,9.877291141228704274e-02
1.312500000000000056e-01,4.100000000000000000e+01,1.406998821031351377e-01,1.854501935451222661e-01,1.007212828302873064e-01
1.343749999999999944e-01,4.200000000000000000e+01,1.443034896064337436e-01,1.909643860539562144e-01,1.052467959890896337e-01
1.375000000000000111e-01,4.300000000000000000e+01,1.479201300766221916e-01,1.937826657655668527e-01,1.083762135589916298e-01
1.406250000000000000e-01,4.400000000000000000e+01,1.515498981272009327e-01,2.005214629033038320e-01,1.094398956469571221e-01
1.437500000000000167e-01,4.500000000000000000e+01,1.551928894057020558e-01,2.024895247255301955e-01,1.154795285005064814e-01
1.468750000000000056e-01,4.600000000000000000e+01,1.588492006088124686e-01,2.085103662194873753e-01,1.171837918922542243e-01
1.500000000000000222e-01,4.700000000000000000e+01,1.625189294977749388e-01,2.105568368832930470e-01,1.194953320454317375e-01
1.531250000000000111e-01,4.800000000000000000e+01,1.662021749140712712e-01,2.147102319486216271e-01,1.242561024917682028e-01
1.562500000000000000e-01,4.900000000000000000e+01,1.698990367953974734e-01,2.178789562488953058e-01,1.260898918172679850e-01
1.593750000000000167e-01,5.000000000000000000e+01,1.736096161919331859e-01,2.254557025019343630e-01,1.292065450772146018e-01
1.625000000000000056e-01,5.100000000000000000e+01,1.773340152829155358e-01,2.276684868805883832e-01,1.304746710167847823e-01
1.656250000000000222e-01,5.200000000000000000e+01,1.810723373935227143e-01,2.332959302989063011e-01,1.363370351962779614e-01
