# Fraction frozen, Temperatures, k, k_upper, k_lower
1.980198019801980222e-03,0.000000000000000000e+00,1.982161203991211155e-03,7.569577305707878359e-03,1.470777640240031499e-04
3.960396039603960444e-03,1.000000000000000000e+00,3.968259175620622234e-03,1.097124977456812207e-02,4.889626770208243970e-04
5.940594059405940666e-03,2.000000000000000000e+00,5.958309583630635314e-03,1.463477852585245292e-02,1.279625344258071649e-03
7.920792079207920888e-03,3.000000000000000000e+00,7.952328190495034504e-03,1.736264342765327789e-02,2.157812007355876596e-03
9.900990099009901110e-03,4.000000000000000000e+00,9.950330853168092016e-03,2.000416592607989069e-02,3.236264561957626247e-03
1.188118811881188133e-02,5.000000000000000000e+00,1.195233352384117084e-02,2.316039160607444303e-02,4.316920687112804286e-03
1.386138613861386155e-02,6.000000000000000000e+00,1.395835225070691382e-02,2.655398171469988688e-02,5.537800866714892405e-03
1.584158415841584178e-02,7.000000000000000000e+00,1.596840317873111231e-02,2.885254145109141313e-02,7.034915796342404437e-03
1.782178217821782373e-02,8.000000000000000000e+00,1.798250255043235685e-02,3.104536703818530988e-02,8.184745919560761085e-03
1.980198019801980222e-02,9.000000000000000000e+00,2.000066670666954260e-02,3.373270905122758428e-02,9.429958987519705335e-03
2.178217821782178071e-02,1.000000000000000000e+01,2.202291208743734074e-02,3.665267215347069174e-02,1.113316504730352957e-02
2.376237623762376266e-02,1.100000000000000000e+01,2.404925523266973966e-02,3.943831644306425299e-02,1.227539891232669322e-02
2.574257425742574462e-02,1.200000000000000000e+01,2.607971278305173599e-02,4.181850929143807877e-02,1.380180777259079616e-02
2.772277227722772311e-02,1.300000000000000000e+01,2.811430148083927244e-02,4.455942477581291417e-02,1.529233451534972935e-02
2.970297029702970160e-02,1.400000000000000000e+01,3.015303817068755790e-02,4.633470075477574834e-02,1.686128838286880469e-02
3.168316831683168355e-02,1.500000000000000000e+01,3.219593980048782861e-02,5.010025495753291092e-02,1.832083139969227850e-02
3.366336633663366551e-02,1.600000000000000000e+01,3.424302342221267892e-02,5.184249259975914903e-02,1.980973890424772565e-02
3.564356435643564747e-02,1.700000000000000000e+01,3.629430619277006914e-02,5.443702185244207042e-02,2.162987559612319227e-02
3.762376237623762248e-02,1.800000000000000000e+01,3.834980537486609720e-02,5.800499399316968313e-02,2.304756508221526834e-02
3.960396039603960444e-02,1.900000000000000000e+01,4.040953833787666594e-02,5.972971963102279014e-02,2.467839588343567411e-02
4.158415841584158640e-02,2.000000000000000000e+01,4.247352255872815369e-02,6.333454519974045238e-02,2.629589489410195935e-02
4.356435643564356142e-02,2.100000000000000000e+01,4.454177562278718167e-02,6.521774018603115897e-02,2.788291246009999905e-02
4.554455445544554337e-02,2.200000000000000000e+01,4.661431522475956157e-02,6.748568876212816814e-02,3.029650679795539703e-02
4.752475247524752533e-02,2.300000000000000000e+01,4.869115916959868701e-02,6.983250530772472375e-02,3.135006859352116454e-02
4.950495049504950729e-02,2.400000000000000000e+01,5.077232537342325769e-02,7.226093245846895718e-02,3.291902614090352897e-02
5.148514851485148924e-02,2.500000000000000000e+01,5.285783186444464182e-02,7.550769214538788354e-02,3.473572041507227287e-02
5.346534653465346426e-02,2.600000000000000000e+01,5.494769678390389739e-02,7.699713927326645724e-02,3.683210080784152241e-02
5.544554455445544622e-02,2.700000000000000000e+01,5.704193838701866054e-02,8.006475454182986062e-02,3.792726976116914117e-02
5.742574257425742817e-02,2.800000000000000000e+01,5.914057504393987336e-02,8.284900842031049650e-02,4.002035275563699257e-02
5.940594059405940319e-02,2.900000000000000000e+01,6.124362524071867014e-02,8.614976589798113704e-02,4.100956419108525014e-02
6.138613861386138515e-02,3.000000000000000000e+01,6.335110758028339450e-02,8.784913609111438815e-02,4.285216703696265172e-02
6.336633663366336711e-02,3.100000000000000000e+01,6.546304078342692068e-02,8.958202766440713505e-02,4.499676301109162280e-02
6.534653465346534906e-02,3.200000000000000000e+01,6.757944368980450811e-02,9.179629016022654298e-02,4.701851489299851972e-02
6.732673267326733102e-02,3.300000000000000000e+01,6.970033525894214765e-02,9.498850848864488772e-02,4.724868825723348847e-02
6.930693069306931298e-02,3.400000000000000000e+01,7.182573457125561445e-02,9.733640680445627968e-02,5.010025495753291092e-02
7.128712871287129493e-02,3.500000000000000000e+01,7.395566082908053285e-02,9.974233978771439302e-02,5.108852090411748759e-02
7.326732673267326301e-02,3.600000000000000000e+01,7.609013335771304398e-02,1.022077419224437511e-01,5.364531660036944705e-02
7.524752475247524497e-02,3.700000000000000000e+01,7.822917160646246371e-02,1.047340831498279751e-01,5.364531660036944705e-02
7.722772277227722693e-02,3.800000000000000000e+01,8.037279514971390482e-02,1.068000432514575465e-01,5.744122451259450757e-02
7.920792079207920888e-02,3.900000000000000000e+01,8.252102368800347254e-02,1.094398956469571221e-01,5.886103998750941840e-02
8.118811881188119084e-02,4.000000000000000000e+01,8.467387704910452062e-02,1.132456708055679107e-01,6.090793415229463215e-02
8.316831683168317280e-02,4.100000000000000000e+01,8.683137518912571740e-02,1.138000510766946638e-01,6.241343874744067349e-02
8.514851485148515475e-02,4.200000000000000000e+01,8.899353819362093576e-02,1.160448443475875502e-01,6.458386766958378045e-02
8.712871287128712283e-02,4.300000000000000000e+01,9.116038627871127231e-02,1.194953320454317375e-01,6.650421012103821528e-02
8.910891089108910479e-02,4.400000000000000000e+01,9.333193979221911241e-02,1.230484168506261883e-01,6.748568876212816814e-02
9.108910891089108675e-02,4.500000000000000000e+01,9.550821921481464361e-02,1.248643829787708659e-01,7.086310340502699479e-02
9.306930693069306870e-02,4.600000000000000000e+01,9.768924516117483137e-02,1.279507444678106842e-01,7.086310340502699479e-02
9.504950495049505066e-02,4.700000000000000000e+01,9.987503838115509291e-02,1.292065450772146018e-01,7.368633476186420284e-02
9.702970297029703262e-02,4.800000000000000000e+01,1.020656197609737248e-01,1.324002348656470596e-01,7.550769214538788354e-02
9.900990099009901457e-02,4.900000000000000000e+01,1.042610103244093894e-01,1.356728653490622827e-01,7.662204546142327433e-02
1.009900990099009965e-01,5.000000000000000000e+01,1.064612312340118133e-01,1.383491166538447503e-01,7.928657904394528777e-02
1.029702970297029785e-01,5.100000000000000000e+01,1.086663037923257802e-01,1.390263877605911191e-01,8.124636163623621954e-02
1.049504950495049466e-01,5.200000000000000000e+01,1.108762494431286133e-01,1.431602107093020992e-01,8.366214816166543666e-02
1.069306930693069285e-01,5.300000000000000000e+01,1.130910897726814662e-01,1.466988031449940055e-01,8.531244818741130775e-02
1.089108910891089105e-01,5.400000000000000000e+01,1.153108465109943664e-01,1.459841556427121101e-01,8.742117645995718667e-02
1.108910891089108924e-01,5.500000000000000000e+01,1.175355415331055114e-01,1.503248614789539639e-01,9.046125009801236905e-02
1.128712871287128744e-01,5.600000000000000000e+01,1.197651968603746508e-01,1.525433772766436602e-01,9.134910185278746764e-02
1.148514851485148563e-01,5.700000000000000000e+01,1.219998346617909846e-01,1.547946342476574366e-01,9.224566762309521772e-02
1.168316831683168383e-01,5.800000000000000000e+01,1.242394772552957438e-01,1.593973116364434395e-01,9.452576919642451114e-02
1.188118811881188064e-01,5.900000000000000000e+01,1.264841471091195935e-01,1.601776215963148509e-01,9.639036247745129404e-02
1.207920792079207883e-01,6.000000000000000000e+01,1.287338668431350641e-01,1.617497199506476857e-01,9.733640680445627968e-02
1.227722772277227703e-01,6.100000000000000000e+01,1.309886592302241803e-01,1.665592004748125965e-01,1.012143514984888276e-01
1.247524752475247523e-01,6.200000000000000000e+01,1.332485471976616875e-01,1.690173049684305373e-01,1.022077419224437511e-01
1.267326732673267342e-01,6.300000000000000000e+01,1.355135538285138219e-01,1.706761623315665999e-01,1.032108821943184124e-01
1.287128712871287162e-01,6.400000000000000000e+01,1.377837023630529845e-01,1.723513009136686258e-01,1.062797637228112685e-01
1.306930693069306981e-01,6.500000000000000000e+01,1.400590162001884853e-01,1.748948860536612415e-01,1.083762135589916298e-01
1.326732673267326801e-01,6.600000000000000000e+01,1.423395188989136917e-01,1.774760097868070818e-01,1.105140174757763827e-01
1.346534653465346620e-01,6.700000000000000000e+01,1.446252341797696905e-01,1.818628101598772917e-01,1.110550252735643534e-01
1.366336633663366440e-01,6.800000000000000000e+01,1.469161859263255210e-01,1.818628101598772917e-01,1.143571452483426593e-01
1.386138613861386260e-01,6.900000000000000000e+01,1.492123981866757543e-01,1.854501935451222661e-01,1.166129276289585986e-01
1.405940594059406079e-01,7.000000000000000000e+01,1.515138951749549767e-01,1.881870940153218541e-01,1.189132070467962266e-01
1.425742574257425899e-01,7.100000000000000000e+01,1.538207012728700085e-01,1.900340974722329879e-01,1.212588612400359311e-01
1.445544554455445441e-01,7.200000000000000000e+01,1.561328410312495252e-01,1.918992287491611548e-01,1.212588612400359311e-01
1.465346534653465260e-01,7.300000000000000000e+01,1.584503391716120535e-01,1.976051774429389563e-01,1.248643829787708659e-01
1.485148514851485080e-01,7.400000000000000000e+01,1.607732205877517306e-01,2.015030910943006459e-01,1.267071493946638483e-01
1.504950495049504899e-01,7.500000000000000000e+01,1.631015103473428818e-01,2.034807873214346252e-01,1.279507444678106842e-01
1.524752475247524719e-01,7.600000000000000000e+01,1.654352336935630552e-01,2.034807873214346252e-01,1.324002348656470596e-01
1.544554455445544539e-01,7.700000000000000000e+01,1.677744160467352919e-01,2.085103662194873753e-01,1.336997059732287219e-01
1.564356435643564358e-01,7.800000000000000000e+01,1.701190830059894354e-01,2.105568368832930470e-01,1.350119310246472304e-01
