# Fraction frozen, Temperatures, k, k_upper, k_lower
1.855287569573283888e-03,0.000000000000000000e+00,1.857010747212771125e-03,7.034915796342404437e-03,1.428308197567718086e-04
3.710575139146567777e-03,1.000000000000000000e+00,3.717476400132420193e-03,1.049949636149069727e-02,4.748436342692309076e-04
5.565862708719851448e-03,2.000000000000000000e+00,5.581409838195152025e-03,1.366766349529170352e-02,1.177683014534238945e-03
7.421150278293135553e-03,3.000000000000000000e+00,7.448824012990624792e-03,1.621526197603187502e-02,2.116070886488363462e-03
9.276437847866419659e-03,4.000000000000000000e+00,9.319731948802366037e-03,1.923772274916790356e-02,3.112269745009990304e-03
1.113172541743970290e-02,5.000000000000000000e+00,1.119414674315258665e-02,2.216451656787211261e-02,4.071213608583187059e-03
1.298701298701298787e-02,6.000000000000000000e+00,1.307208156735277516e-02,2.431948544034412060e-02,5.299680642173863754e-03
1.484230055658627111e-02,7.000000000000000000e+00,1.495354966705835821e-02,2.681460158493292542e-02,6.570025070913692623e-03
1.669758812615955434e-02,8.000000000000000000e+00,1.683856436282959307e-02,2.927835138288170658e-02,7.606633241614336842e-03
1.855287569573283932e-02,9.000000000000000000e+00,1.872713905069776225e-02,3.181273738795151879e-02,8.849908398088798117e-03
2.040816326530612429e-02,1.000000000000000000e+01,2.061928720273570326e-02,3.423054119417947433e-02,1.034679685423179306e-02
2.226345083487940579e-02,1.100000000000000000e+01,2.251502236763477244e-02,3.683210080784152241e-02,1.163338986081773052e-02
2.411873840445269077e-02,1.200000000000000000e+01,2.441435817128726968e-02,3.943831644306425299e-02,1.295283836092117613e-02
2.597402597402597574e-02,1.300000000000000000e+01,2.631730831737341680e-02,4.141206154205229195e-02,1.449253833376100593e-02
2.782931354359925724e-02,1.400000000000000000e+01,2.822388658795503200e-02,4.455942477581291417e-02,1.551802097447617726e-02
2.968460111317254221e-02,1.500000000000000000e+01,3.013410684407421408e-02,4.656152659089197315e-02,1.727806080330616945e-02
3.153988868274582719e-02,1.600000000000000000e+01,3.204798302635843144e-02,4.865358494598714251e-02,1.886558462603610611e-02
3.339517625231910869e-02,1.700000000000000000e+01,3.396552915563026687e-02,5.184249259975914903e-02,2.010209386319995392e-02
3.525046382189239713e-02,1.800000000000000000e+01,3.588675933352417774e-02,5.364531660036944705e-02,2.194909239259953959e-02
3.710575139146567863e-02,1.900000000000000000e+01,3.781168774310849495e-02,5.633007067389840528e-02,2.316039160607444303e-02
3.896103896103896014e-02,2.000000000000000000e+01,3.974032864951410754e-02,5.857429671280661027e-02,2.443853849408276352e-02
4.081632653061224858e-02,2.100000000000000000e+01,4.167269640056807389e-02,6.120610146243484623e-02,2.655398171469988688e-02
4.267161410018553008e-02,2.200000000000000000e+01,4.360880542743438698e-02,6.302600911379559190e-02,2.747739710517149714e-02
4.452690166975881159e-02,2.300000000000000000e+01,4.554867024526100538e-02,6.521774018603115897e-02,2.985588931494147918e-02
4.638218923933210003e-02,2.400000000000000000e+01,4.749230545383208157e-02,6.781605666199576332e-02,3.074362697677879980e-02
4.823747680890538153e-02,2.500000000000000000e+01,4.943972573822757316e-02,6.915378038191513643e-02,3.196847273618130120e-02
5.009276437847866303e-02,2.600000000000000000e+01,5.139094586948935589e-02,7.226093245846895718e-02,3.406378611341720486e-02
5.194805194805195148e-02,2.700000000000000000e+01,5.334598070529273511e-02,7.477380822523355119e-02,3.594365597724222261e-02
5.380333951762523298e-02,2.800000000000000000e+01,5.530484519062574961e-02,7.699713927326645724e-02,3.719359752935334079e-02
5.565862708719851448e-02,2.900000000000000000e+01,5.726755435847438042e-02,7.928657904394528777e-02,3.829951525827202108e-02
5.751391465677180292e-02,3.000000000000000000e+01,5.923412333051526757e-02,8.164409321989472834e-02,4.061097884332459662e-02
5.936920222634508443e-02,3.100000000000000000e+01,6.120456731781402648e-02,8.407170593152095417e-02,4.161478920256496405e-02
6.122448979591836593e-02,3.200000000000000000e+01,6.317890162153155797e-02,8.657150149490332181e-02,4.327274901718574512e-02
6.307977736549165437e-02,3.300000000000000000e+01,6.515714163363731104e-02,8.958202766440713505e-02,4.499676301109162280e-02
6.493506493506494281e-02,3.400000000000000000e+01,6.713930283762856166e-02,9.134910185278746764e-02,4.656152659089197315e-02
6.679035250463821738e-02,3.500000000000000000e+01,6.912540080925801134e-02,9.315103293454989053e-02,4.794599115369059528e-02
6.864564007421150582e-02,3.600000000000000000e+01,7.111545121726793595e-02,9.498850848864488772e-02,4.985619010286809066e-02
7.050092764378479426e-02,3.700000000000000000e+01,7.310946982413236983e-02,9.733640680445627968e-02,5.083964168304219711e-02
7.235621521335806883e-02,3.800000000000000000e+01,7.510747248680545163e-02,1.002306161604975820e-01,5.260759151748056056e-02
7.421150278293135727e-02,3.900000000000000000e+01,7.710947515747844372e-02,1.022077419224437511e-01,5.417183031124011422e-02
7.606679035250464571e-02,4.000000000000000000e+01,7.911549388434421792e-02,1.042238680061309403e-01,5.660582761569268873e-02
7.792207792207792028e-02,4.100000000000000000e+01,8.112554481236845805e-02,1.073228697446288321e-01,5.828895031633771207e-02
7.977736549165120872e-02,4.200000000000000000e+01,8.313964418406961931e-02,1.089067560002977830e-01,6.031595004823646355e-02
