# Fraction frozen, Temperatures, k, k_upper, k_lower
3.424657534246575152e-03,0.000000000000000000e+00,3.430535096789248239e-03,1.276445865515059633e-02,1.923949539960541659e-04
6.849315068493150305e-03,1.000000000000000000e+00,6.872879287762064318e-03,1.905074503888620763e-02,8.742923184097707015e-04
1.027397260273972546e-02,2.000000000000000000e+00,1.032711415584962843e-02,2.504260317815989317e-02,2.065028122186362593e-03
1.369863013698630061e-02,3.000000000000000000e+00,1.379332213233587338e-02,3.029650679795539703e-02,3.915228405122051121e-03
1.712328767123287576e-02,4.000000000000000000e+00,1.727158650866059478e-02,3.559430784589599772e-02,5.564910490633387385e-03
2.054794520547945091e-02,5.000000000000000000e+00,2.076199144842912764e-02,4.002035275563699257e-02,7.756679915173537478e-03
2.397260273972602607e-02,6.000000000000000000e+00,2.426462199963120778e-02,4.566083167280785005e-02,9.476122193433253807e-03
2.739726027397260122e-02,7.000000000000000000e+00,2.777956410707570559e-02,4.961331421726806329e-02,1.233549161987831412e-02
3.082191780821917637e-02,8.000000000000000000e+00,3.130690462504413796e-02,5.578258032007945427e-02,1.435168062055095992e-02
3.424657534246575152e-02,9.000000000000000000e+00,3.484673133016819024e-02,5.972971963102279014e-02,1.621526197603187502e-02
3.767123287671232668e-02,1.000000000000000000e+01,3.839913293453602050e-02,6.395615596714131212e-02,1.923772274916790356e-02
4.109589041095890183e-02,1.100000000000000000e+01,4.196419909903208179e-02,6.915378038191513643e-02,2.184216674822177587e-02
4.452054794520547698e-02,1.200000000000000000e+01,4.554202044691607609e-02,7.332736963085474680e-02,2.443853849408276352e-02
4.794520547945205213e-02,1.300000000000000000e+01,4.913268857764464814e-02,7.813347406296164421e-02,2.642462321755323709e-02
5.136986301369862729e-02,1.400000000000000000e+01,5.273629608094323323e-02,8.366214816166543666e-02,2.985588931494147918e-02
5.479452054794520244e-02,1.500000000000000000e+01,5.635293655113174371e-02,8.742117645995718667e-02,3.212497046767890524e-02
5.821917808219177759e-02,1.600000000000000000e+01,5.998270460171046398e-02,9.046125009801236905e-02,3.456650433898705854e-02
6.164383561643835274e-02,1.700000000000000000e+01,6.362569588021155242e-02,9.733640680445627968e-02,3.737567421745833368e-02
6.506849315068492789e-02,1.800000000000000000e+01,6.728200708332206237e-02,1.017098339237905436e-01,4.002035275563699257e-02
6.849315068493150305e-02,1.900000000000000000e+01,7.095173597228449092e-02,1.032108821943184124e-01,4.327274901718574512e-02
7.191780821917807820e-02,2.000000000000000000e+01,7.463498138858079556e-02,1.083762135589916298e-01,4.678946282502715465e-02
7.534246575342465335e-02,2.100000000000000000e+01,7.833184326990695612e-02,1.143571452483426593e-01,4.889176259482601317e-02
7.876712328767122850e-02,2.200000000000000000e+01,8.204242266644262704e-02,1.194953320454317375e-01,5.260759151748056056e-02
8.219178082191780366e-02,2.300000000000000000e+01,8.576682175742506020e-02,1.224489828956326631e-01,5.578258032007945427e-02
8.561643835616437881e-02,2.400000000000000000e+01,8.950514386803222477e-02,1.267071493946638483e-01,5.660582761569268873e-02
8.904109589041095396e-02,2.500000000000000000e+01,9.325749348658270155e-02,1.330483839523179668e-01,6.120610146243484623e-02
9.246575342465752911e-02,2.600000000000000000e+01,9.702397628205958191e-02,1.363370351962779614e-01,6.426924547275403299e-02
9.589041095890410427e-02,2.700000000000000000e+01,1.008046991219655186e-01,1.417687898664670987e-01,6.650421012103821528e-02
9.931506849315067942e-02,2.800000000000000000e+01,1.045997700905171440e-01,1.466988031449940055e-01,7.051789172799448335e-02
1.027397260273972546e-01,2.900000000000000000e+01,1.084092985071848508e-01,1.510607583734753789e-01,7.261467697729463711e-02
1.061643835616438297e-01,3.000000000000000000e+01,1.122333949455883162e-01,1.563139000935044876e-01,7.662204546142327433e-02
1.095890410958904049e-01,3.100000000000000000e+01,1.160721712527540139e-01,1.586208029793220731e-01,7.928657904394528777e-02
1.130136986301369800e-01,3.200000000000000000e+01,1.199257405687440131e-01,1.649403572085283431e-01,8.366214816166543666e-02
1.164383561643835552e-01,3.300000000000000000e+01,1.237942173466643481e-01,1.681939322329439601e-01,8.448326864113160639e-02
1.198630136986301303e-01,3.400000000000000000e+01,1.276777173730619941e-01,1.740428805103265975e-01,8.914562620136017024e-02
1.232876712328767055e-01,3.500000000000000000e+01,1.315763577887193170e-01,1.800952261130305820e-01,9.224566762309521772e-02
1.267123287671232945e-01,3.600000000000000000e+01,1.354902571098555442e-01,1.827530972082663518e-01,9.498850848864488772e-02
1.301369863013698558e-01,3.700000000000000000e+01,1.394195352497451246e-01,1.872703350928459909e-01,9.925644206753608811e-02
1.335616438356164171e-01,3.800000000000000000e+01,1.433643135407614844e-01,1.891083408184947023e-01,1.012143514984888276e-01
1.369863013698630061e-01,3.900000000000000000e+01,1.473247147568584325e-01,1.976051774429389563e-01,1.068000432514575465e-01
